meta_analysis_id,study_id,author,year,journal,pmid,country,intervention,intervention_dose,comparator,n_intervention,n_comparator,outcome_type,events_intervention,events_comparator,mean_intervention,sd_intervention,mean_comparator,sd_comparator,hazard_ratio,hr_ci_lower,hr_ci_upper,follow_up_months,age_mean,age_sd,percent_male,percent_white,disease_severity,comorbidities,rob_random_sequence,rob_allocation_concealment,rob_blinding_participants,rob_blinding_outcome,rob_incomplete_outcome,rob_selective_reporting,rob_other_bias,rob_overall,industry_funding,multi_center,therapeutic_area,disease_indication,intervention_class,outcome_measure
CMETA139,RCT2308,Davis,2005,Eur Heart J,18056684,Japan,JAK inhibitor agent,Standard dose,Placebo,423,307,continuous,,,69.6,17.7,79.8,17.7,,,,60,48.1,12.2,29,53,Moderate,Multiple,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA139,RCT2309,Rodriguez,2023,JAMA,28512390,USA,JAK inhibitor agent,Standard dose,Active comparator,254,527,continuous,,,49.3,14.5,61.8,14.7,,,,36,52.9,12.8,35,55,Severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA139,RCT2310,Turner,2013,Thorax,19442877,South Africa,JAK inhibitor agent,Standard dose,Placebo,580,570,continuous,,,39.1,17.9,53.8,18.4,,,,48,57.4,14.0,36,87,Moderate-severe,CKD,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA139,RCT2311,Anderson,2022,Am J Psychiatry,29142960,Norway,JAK inhibitor agent,Standard dose,Placebo,328,424,continuous,,,51.0,13.1,68.1,13.6,,,,48,57.9,13.8,31,51,Severe,COPD,low,low,low,low,low,low,low,low,no,yes,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA139,RCT2312,Garcia,2020,Lancet Diabetes Endocrinol,20435080,Turkey,JAK inhibitor agent,Standard dose,Active comparator,508,477,continuous,,,41.4,12.8,52.9,12.3,,,,60,48.7,10.1,43,70,Mild,CKD,low,low,low,low,low,low,low,low,no,yes,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA139,RCT2313,Jones,2010,Lancet Oncol,28103039,Portugal,JAK inhibitor agent,Standard dose,Active comparator,480,554,continuous,,,40.2,12.0,48.5,13.6,,,,48,45.1,10.6,42,76,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,yes,no,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA139,RCT2314,Kelly,2009,J Pain,32728414,Taiwan,JAK inhibitor agent,Standard dose,Active comparator,542,449,continuous,,,50.8,20.5,62.0,18.6,,,,48,55.4,10.8,35,63,Severe,HTN,low,low,low,low,low,low,low,low,no,yes,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA139,RCT2315,Wright,2010,Pain,34175881,Turkey,JAK inhibitor agent,Standard dose,Active comparator,310,252,continuous,,,63.8,15.5,72.2,17.6,,,,48,47.0,9.8,39,65,Severe,Diabetes+HTN,unclear,low,low,low,low,low,low,unclear,no,yes,Rheumatology,Gout,JAK inhibitor,Primary outcome
CMETA140,RCT2316,Parker,2009,Blood,17421949,Colombia,LABA/ICS combo agent,Standard dose,Placebo,432,302,binary,187,109,,,,,,,,48,53.9,9.4,59,52,Moderate-severe,Diabetes+HTN,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2317,Hughes,2022,Haematologica,19964811,Belgium,LABA/ICS combo agent,Standard dose,Active comparator,345,559,binary,97,220,,,,,,,,48,53.5,13.5,58,79,Moderate,COPD,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2318,Lee,2008,Pain,27004983,Portugal,LABA/ICS combo agent,Standard dose,Active comparator,595,639,binary,173,206,,,,,,,,24,52.2,9.1,57,86,Mild,Diabetes+HTN,low,low,low,low,unclear,low,low,unclear,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2319,Parker,2020,Ann Rheum Dis,28936557,Denmark,LABA/ICS combo agent,Standard dose,Placebo,384,818,binary,53,82,,,,,,,,36,63.9,11.9,58,80,Mild,CVD,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2320,Castillo,2015,Gut,23620133,Greece,LABA/ICS combo agent,Standard dose,Placebo,845,472,binary,510,230,,,,,,,,36,58.6,13.4,70,48,Severe,COPD,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2321,Ramos,2019,Ann Neurol,20098975,South Korea,LABA/ICS combo agent,Standard dose,Placebo,715,486,binary,185,119,,,,,,,,60,54.0,11.9,75,59,Mild,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,no,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2322,Roberts,2012,Cancer,29502154,USA,LABA/ICS combo agent,Standard dose,Placebo,475,676,binary,48,105,,,,,,,,24,64.2,11.8,62,51,Moderate,Multiple,low,low,low,low,low,low,low,low,no,no,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2323,Perez,2020,JAMA,30873907,Israel,LABA/ICS combo agent,Standard dose,Placebo,487,467,binary,189,216,,,,,,,,60,64.1,9.8,65,81,Severe,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2324,Clark,2005,Rheumatology,22747941,Egypt,LABA/ICS combo agent,Standard dose,Placebo,883,466,binary,259,154,,,,,,,,48,66.7,10.3,69,62,Mild,CKD,low,low,unclear,low,low,low,low,unclear,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2325,King,2015,Ann Rheum Dis,36460860,USA,LABA/ICS combo agent,Standard dose,Placebo,753,489,binary,132,113,,,,,,,,36,63.1,8.9,64,84,Moderate,None,low,low,low,low,low,low,unclear,unclear,no,no,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2326,Cruz,2015,Chest,31649833,Norway,LABA/ICS combo agent,Standard dose,Placebo,687,323,binary,81,52,,,,,,,,12,53.8,9.9,68,73,Severe,None,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2327,Castillo,2023,Br J Cancer,16743199,India,LABA/ICS combo agent,Standard dose,Active comparator,897,831,binary,332,294,,,,,,,,24,62.1,11.0,64,48,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2328,Murphy,2009,Am J Psychiatry,36817217,Greece,LABA/ICS combo agent,Standard dose,Placebo,654,566,binary,266,192,,,,,,,,36,65.3,11.4,71,54,Moderate,Diabetes,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2329,Rogers,2023,Circulation,26879971,Australia,LABA/ICS combo agent,Standard dose,Placebo,477,500,binary,165,188,,,,,,,,36,55.9,10.3,57,73,Moderate,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2330,Adams,2018,Haematologica,21385912,UAE,LABA/ICS combo agent,Standard dose,Placebo,810,322,binary,296,139,,,,,,,,24,59.5,11.6,59,79,Moderate,CKD,low,low,low,low,low,low,low,low,no,no,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2331,Morales,2015,Lancet Gastroenterol Hepatol,21666800,Israel,LABA/ICS combo agent,Standard dose,Placebo,483,666,binary,149,169,,,,,,,,36,56.9,13.5,62,60,Severe,Diabetes,low,low,low,low,low,low,unclear,unclear,no,no,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2332,Davis,2005,JAMA Psychiatry,26008116,Czech Republic,LABA/ICS combo agent,Standard dose,Placebo,673,595,binary,217,182,,,,,,,,24,67.2,8.9,64,80,Mild,CVD,low,low,low,low,low,low,low,low,yes,no,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2333,Green,2011,Lancet Oncol,36314770,Israel,LABA/ICS combo agent,Standard dose,Placebo,392,570,binary,143,192,,,,,,,,60,57.6,10.5,63,51,Moderate,Multiple,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2334,Scott,2005,J Clin Endocrinol Metab,20677808,Denmark,LABA/ICS combo agent,Standard dose,Placebo,525,437,binary,332,216,,,,,,,,36,54.1,11.3,66,82,Mild,Obesity,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2335,Mitchell,2006,JAMA Psychiatry,18076097,France,LABA/ICS combo agent,Standard dose,Placebo,506,723,binary,117,156,,,,,,,,60,57.9,10.5,74,59,Moderate,CKD,low,unclear,low,low,low,low,low,unclear,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2336,Young,2015,Br J Cancer,33428794,Colombia,LABA/ICS combo agent,Standard dose,Active comparator,579,345,binary,116,50,,,,,,,,24,67.8,9.3,71,80,Mild,COPD,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2337,Brown,2005,Lancet Gastroenterol Hepatol,18658432,Australia,LABA/ICS combo agent,Standard dose,Placebo,657,497,binary,85,73,,,,,,,,48,58.0,10.8,75,67,Mild,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2338,Hughes,2016,Am J Psychiatry,32610005,France,LABA/ICS combo agent,Standard dose,Placebo,628,519,binary,164,191,,,,,,,,12,65.2,9.7,72,78,Moderate-severe,Obesity,low,low,low,low,low,low,low,low,yes,no,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2339,Cruz,2017,Diabetes Care,18259144,Greece,LABA/ICS combo agent,Standard dose,Placebo,431,410,binary,68,94,,,,,,,,12,62.4,10.1,66,78,Mild,COPD,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2340,Edwards,2020,Am J Gastroenterol,18657298,Spain,LABA/ICS combo agent,Standard dose,Active comparator,530,817,binary,191,246,,,,,,,,48,52.3,13.1,59,64,Moderate-severe,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA140,RCT2341,Lee,2007,Diabetes Care,23015517,Indonesia,LABA/ICS combo agent,Standard dose,Placebo,538,565,binary,162,141,,,,,,,,36,52.8,10.0,75,64,Moderate-severe,None,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Asthma,LABA/ICS combo,Primary outcome
CMETA141,RCT2342,Young,2006,J Pain,21662924,Philippines,Diuretic agent,Standard dose,Placebo,2445,2363,survival,,,,,,,0.83,0.73,0.93,48,64.5,12.1,70,83,Moderate-severe,None,low,low,low,low,low,low,low,low,no,no,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2343,Ruiz,2012,Stroke,31492069,Taiwan,Diuretic agent,Standard dose,Placebo,1034,986,survival,,,,,,,0.57,0.46,0.69,24,71.0,13.3,74,84,Mild,CKD,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2344,Cooper,2018,Cancer,19646094,Norway,Diuretic agent,Standard dose,Placebo,2334,2786,survival,,,,,,,0.81,0.69,0.95,24,65.2,12.1,49,45,Severe,None,low,low,low,low,low,low,low,low,yes,no,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2345,Lee,2020,Lancet Psychiatry,32062881,Finland,Diuretic agent,Standard dose,Placebo,2388,2523,survival,,,,,,,0.57,0.45,0.65,12,65.2,8.8,77,87,Severe,Obesity,low,low,low,unclear,low,low,low,unclear,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2346,Clark,2009,Leukemia,32309804,Brazil,Diuretic agent,Standard dose,Active comparator,991,1564,survival,,,,,,,0.64,0.57,0.77,24,69.9,10.1,55,70,Severe,None,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2347,Cook,2019,Thorax,23621833,Venezuela,Diuretic agent,Standard dose,Placebo,2259,1035,survival,,,,,,,0.79,0.7,0.92,24,62.4,8.1,76,51,Severe,Obesity,low,unclear,low,low,low,low,low,unclear,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2348,Flores,2007,Lancet Oncol,19803896,Israel,Diuretic agent,Standard dose,Placebo,2354,1821,survival,,,,,,,0.84,0.75,1.02,12,58.4,12.2,55,62,Severe,None,low,low,low,low,unclear,low,low,unclear,no,no,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2349,Ramirez,2006,Gastroenterology,34243154,France,Diuretic agent,Standard dose,Placebo,2625,1992,survival,,,,,,,0.7,0.56,0.78,24,63.2,11.2,68,62,Severe,COPD,low,low,low,low,high,low,low,high,yes,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2350,Rogers,2021,Eur Heart J,28099371,Greece,Diuretic agent,Standard dose,Placebo,2293,2180,survival,,,,,,,0.72,0.61,0.87,12,61.2,8.5,48,87,Moderate,Obesity,low,low,low,low,low,low,low,low,yes,no,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2351,Moore,2005,Haematologica,20994174,Italy,Diuretic agent,Standard dose,Placebo,2202,1965,survival,,,,,,,0.64,0.56,0.74,48,61.7,11.8,56,75,Moderate-severe,COPD,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2352,Kelly,2010,Cancer,21365602,Denmark,Diuretic agent,Standard dose,Placebo,2630,2766,survival,,,,,,,0.6,0.51,0.72,60,70.6,10.4,48,81,Mild,HTN,low,low,unclear,low,low,low,low,unclear,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2353,Stewart,2010,Lancet Gastroenterol Hepatol,34763946,India,Diuretic agent,Standard dose,Placebo,2632,1970,survival,,,,,,,0.79,0.63,0.94,24,65.9,12.9,61,82,Moderate-severe,CKD,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2354,Hughes,2018,Thorax,28714583,Italy,Diuretic agent,Standard dose,Active comparator,2629,2914,survival,,,,,,,0.91,0.77,1.0,60,66.8,11.5,65,54,Moderate,Obesity,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2355,Rodriguez,2007,Gut,20092170,Singapore,Diuretic agent,Standard dose,Placebo,1039,1664,survival,,,,,,,0.71,0.56,0.84,24,66.2,11.8,68,60,Severe,HTN,unclear,low,low,low,low,low,low,unclear,yes,no,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2356,Peterson,2007,JAMA Psychiatry,22519030,Turkey,Diuretic agent,Standard dose,Placebo,2966,1673,survival,,,,,,,0.76,0.65,0.9,24,67.3,13.6,61,57,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2357,Lee,2014,Ann Rheum Dis,34263362,Australia,Diuretic agent,Standard dose,Placebo,1829,1144,survival,,,,,,,0.74,0.58,0.83,60,60.8,11.7,64,55,Severe,Obesity,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2358,Turner,2012,Thorax,19278157,Germany,Diuretic agent,Standard dose,Placebo,953,2523,survival,,,,,,,0.84,0.71,1.01,60,59.6,12.9,49,68,Mild,None,low,low,low,low,low,low,low,low,yes,no,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2359,Bailey,2008,Leukemia,29449396,Philippines,Diuretic agent,Standard dose,Placebo,2231,852,survival,,,,,,,0.72,0.56,0.84,60,59.8,9.3,65,56,Moderate,Obesity,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2360,Kim,2014,Clin Cancer Res,28389781,Netherlands,Diuretic agent,Standard dose,Placebo,2968,1853,survival,,,,,,,0.66,0.57,0.79,12,70.9,11.9,58,68,Severe,CVD,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2361,Gutierrez,2017,J Clin Endocrinol Metab,24853390,Denmark,Diuretic agent,Standard dose,Placebo,1311,906,survival,,,,,,,0.92,0.76,1.09,48,68.5,11.4,66,65,Moderate-severe,CVD,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA141,RCT2362,Perez,2016,Blood,32426929,Portugal,Diuretic agent,Standard dose,Active comparator,2150,979,survival,,,,,,,0.69,0.58,0.83,48,58.6,9.4,51,53,Severe,Diabetes+HTN,low,low,low,low,low,low,low,low,no,no,Cardiology,Heart failure,Diuretic,Primary outcome
CMETA142,RCT2363,Johnson,2012,J Clin Oncol,17052150,Indonesia,Antibiotic agent,Standard dose,Placebo,419,367,continuous,,,55.8,20.2,64.2,23.0,,,,12,61.7,11.5,56,73,Mild,CKD,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2364,Phillips,2019,JAMA,35615071,Colombia,Antibiotic agent,Standard dose,Placebo,368,430,continuous,,,34.9,14.2,52.0,14.6,,,,12,61.0,8.1,60,61,Severe,COPD,low,low,low,low,low,low,low,low,yes,no,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2365,Watson,2005,Neurology,18590054,Spain,Antibiotic agent,Standard dose,Placebo,328,266,continuous,,,36.4,20.6,42.9,19.7,,,,36,42.6,8.8,57,56,Moderate-severe,COPD,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2366,Foster,2020,J Clin Oncol,31033560,Poland,Antibiotic agent,Standard dose,Placebo,200,359,continuous,,,63.9,11.0,77.0,12.2,,,,48,67.6,8.1,61,46,Mild,CKD,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2367,King,2006,J Clin Endocrinol Metab,21811084,Singapore,Antibiotic agent,Standard dose,Placebo,293,214,continuous,,,54.0,17.7,70.7,20.4,,,,60,55.8,10.0,53,70,Moderate,CKD,low,low,low,low,low,low,low,low,yes,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2368,Rivera,2020,J Clin Oncol,34712305,Netherlands,Antibiotic agent,Standard dose,Active comparator,410,407,continuous,,,34.4,22.1,50.9,21.6,,,,12,64.8,9.7,42,79,Mild,Diabetes+HTN,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2369,Jones,2006,NEJM,30449118,Belgium,Antibiotic agent,Standard dose,Placebo,492,371,continuous,,,57.6,20.2,62.5,21.6,,,,36,42.0,11.5,62,87,Severe,HTN,low,low,low,low,low,low,unclear,unclear,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2370,Harris,2009,Lancet,29567544,Hong Kong,Antibiotic agent,Standard dose,Active comparator,291,243,continuous,,,30.1,22.6,43.5,22.8,,,,48,58.5,10.9,44,63,Moderate-severe,CKD,low,low,low,low,low,low,low,low,yes,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2371,Mitchell,2005,J Antimicrob Chemother,21572908,France,Antibiotic agent,Standard dose,Placebo,223,256,continuous,,,53.5,18.9,63.8,19.1,,,,12,38.9,8.4,59,47,Moderate,COPD,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2372,Reyes,2017,J Am Coll Cardiol,28625140,South Korea,Antibiotic agent,Standard dose,Placebo,275,444,continuous,,,50.7,17.2,58.1,17.1,,,,60,61.1,12.9,52,84,Severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2373,Richardson,2012,Br J Cancer,28800603,China,Antibiotic agent,Standard dose,Active comparator,314,246,continuous,,,29.8,22.2,40.0,20.8,,,,24,46.0,8.4,42,73,Mild,Diabetes+HTN,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2374,Turner,2023,J Antimicrob Chemother,19062550,Hong Kong,Antibiotic agent,Standard dose,Placebo,373,460,continuous,,,42.3,20.2,57.8,19.8,,,,24,50.8,13.9,48,88,Moderate-severe,Diabetes,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2375,Lopez,2010,Gut,34665026,China,Antibiotic agent,Standard dose,Active comparator,341,451,continuous,,,41.2,24.8,51.4,24.5,,,,36,45.2,12.6,57,46,Mild,None,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2376,Kim,2006,Blood,26019993,Denmark,Antibiotic agent,Standard dose,Active comparator,494,472,continuous,,,52.8,30.3,67.7,27.0,,,,60,50.7,8.5,56,53,Moderate,Obesity,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2377,Rodriguez,2022,Cancer,24878771,Malaysia,Antibiotic agent,Standard dose,Placebo,193,239,continuous,,,38.2,18.3,48.2,17.1,,,,12,60.9,8.7,53,58,Mild,Multiple,low,low,low,low,low,low,unclear,unclear,no,no,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2378,Williams,2021,Lancet Respir Med,27825678,Czech Republic,Antibiotic agent,Standard dose,Placebo,384,271,continuous,,,32.2,21.2,41.5,21.4,,,,24,57.3,8.7,55,68,Mild,Diabetes,unclear,low,low,low,low,low,low,unclear,no,no,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2379,Kelly,2010,Am J Psychiatry,36900151,Singapore,Antibiotic agent,Standard dose,Active comparator,432,466,continuous,,,38.5,13.6,56.2,15.0,,,,12,41.8,11.0,54,54,Moderate-severe,Multiple,low,low,low,low,unclear,low,low,unclear,yes,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2380,Alvarez,2006,Diabetes Care,31491510,Thailand,Antibiotic agent,Standard dose,Active comparator,400,225,continuous,,,45.8,22.7,55.0,25.6,,,,36,59.1,12.6,54,50,Mild,Obesity,low,low,low,low,low,unclear,low,unclear,no,no,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA142,RCT2381,Turner,2014,Neurology,23693279,Hong Kong,Antibiotic agent,Standard dose,Active comparator,401,286,continuous,,,61.4,18.8,79.5,20.7,,,,36,41.6,13.9,55,86,Moderate-severe,Diabetes,low,low,low,high,low,low,low,high,yes,yes,Infectious disease,Hepatitis B,Antibiotic,Primary outcome
CMETA143,RCT2382,White,2014,Lancet Diabetes Endocrinol,31422057,India,Antiviral agent,Standard dose,Placebo,424,452,survival,,,,,,,0.76,0.62,0.92,12,54.3,13.8,55,55,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,no,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2383,Rogers,2007,Diabetes Care,28812225,Japan,Antiviral agent,Standard dose,Placebo,434,395,survival,,,,,,,0.92,0.8,1.1,36,37.4,9.4,55,64,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2384,Anderson,2012,Am J Psychiatry,29238306,Thailand,Antiviral agent,Standard dose,Placebo,229,247,survival,,,,,,,0.91,0.73,1.05,36,40.0,9.2,50,84,Mild,CVD,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2385,Edwards,2021,Stroke,18615145,Italy,Antiviral agent,Standard dose,Active comparator,382,370,survival,,,,,,,0.69,0.61,0.76,48,49.9,12.6,50,84,Mild,None,low,low,low,low,low,low,high,high,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2386,Wood,2010,Lancet Diabetes Endocrinol,22625333,Ireland,Antiviral agent,Standard dose,Placebo,371,442,survival,,,,,,,0.79,0.69,0.91,24,47.5,12.8,53,80,Mild,Diabetes,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2387,Lee,2019,Clin Cancer Res,35702411,Mexico,Antiviral agent,Standard dose,Active comparator,480,523,survival,,,,,,,0.7,0.62,0.79,36,52.2,9.6,46,71,Mild,COPD,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2388,Allen,2011,Ann Oncol,33554632,Venezuela,Antiviral agent,Standard dose,Active comparator,502,285,survival,,,,,,,0.9,0.81,1.05,36,47.9,10.8,48,56,Moderate,Multiple,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2389,Ross,2015,Stroke,35603139,Indonesia,Antiviral agent,Standard dose,Active comparator,412,312,survival,,,,,,,0.81,0.67,0.94,24,43.5,13.7,45,56,Mild,None,low,low,low,low,low,low,low,low,no,no,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2390,Hernandez,2022,Pain,25527219,USA,Antiviral agent,Standard dose,Placebo,466,321,survival,,,,,,,0.83,0.69,0.96,36,49.5,8.0,51,52,Moderate-severe,Obesity,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2391,Ross,2019,Circulation,16444783,South Africa,Antiviral agent,Standard dose,Placebo,476,294,survival,,,,,,,0.84,0.72,1.0,36,46.2,8.1,49,66,Mild,Multiple,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2392,Ortiz,2007,Thorax,29766092,UK,Antiviral agent,Standard dose,Active comparator,547,272,survival,,,,,,,0.64,0.57,0.73,60,41.9,10.7,50,46,Moderate,Obesity,high,low,low,low,low,low,low,high,yes,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2393,Davis,2017,Lancet Oncol,26791121,New Zealand,Antiviral agent,Standard dose,Placebo,349,514,survival,,,,,,,0.65,0.51,0.75,60,37.3,9.6,58,66,Mild,Multiple,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2394,Phillips,2011,Cancer,19214624,Belgium,Antiviral agent,Standard dose,Placebo,419,548,survival,,,,,,,0.83,0.68,1.0,24,53.4,13.2,60,56,Severe,COPD,low,low,low,low,low,low,low,low,yes,no,Gastroenterology,Crohn disease,Antiviral,Primary outcome
CMETA143,RCT2395,Sanchez,2017,Chest,32659414,Finland,Antiviral agent,Standard dose,Placebo,512,262,survival,,,,,,,0.83,0.69,1.01,12,49.1,13.2,57,58,Mild,None,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Crohn disease,Antiviral,Primary outcome
