meta_id,cochrane_id,review_title,comparison,outcome,intervention,control,n_studies,n_participants,pooled_effect_type,pooled_effect,ci_lower,ci_upper,p_value,i_squared,tau_squared,heterogeneity_p,model_type,subgroup_analysis,sensitivity_analysis,publication_bias_assessed,rob_overall,certainty_grade,year_updated,therapeutic_area
CMETA114,CD438031,Systematic review 114,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,18,6149,Odds Ratio,0.76,0.72,1.05,0.071,59,0.084,0.429,Fixed,No,Yes,Yes,Low,Low,2019,Neurology
CMETA115,CD861368,Systematic review 115,Intervention vs comparator,Mortality,Active treatment,Standard care,27,2558,Hazard Ratio,0.77,0.63,1.48,0.067,48,0.07,0.327,Random,No,Yes,No,Low,Moderate,2015,Endocrinology
CMETA116,CD553278,Systematic review 116,Intervention vs comparator,Disease progression,Active treatment,Placebo,23,4381,Hazard Ratio,1.06,0.65,1.52,0.035,47,0.081,0.289,Random,No,Yes,No,Unclear,High,2017,Gastroenterology
CMETA117,CD858890,Systematic review 117,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,29,2150,Odds Ratio,0.98,0.76,1.39,0.084,46,0.12,0.348,Random,Yes,Yes,Yes,Low,High,2018,Psychiatry
CMETA118,CD257883,Systematic review 118,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,18,6899,Mean Difference,0.74,0.74,1.24,0.061,23,0.014,0.109,Fixed,Yes,Yes,Yes,Low,Low,2018,Psychiatry
CMETA119,CD252454,Systematic review 119,Intervention vs comparator,Mortality,Active treatment,Placebo,23,1258,Hazard Ratio,1.27,0.69,1.17,0.137,28,0.072,0.53,Fixed,No,Yes,Yes,Low,High,2015,Gastroenterology
CMETA120,CD541265,Systematic review 120,Intervention vs comparator,Clinical response,Active treatment,Placebo,9,5465,Odds Ratio,1.18,0.59,1.47,0.035,58,0.034,0.085,Random,No,No,No,Low,Moderate,2020,Gastroenterology
CMETA121,CD521390,Systematic review 121,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,33,5226,Risk Ratio,0.77,0.73,1.58,0.081,59,0.063,0.709,Random,Yes,Yes,No,Low,Moderate,2021,Psychiatry
CMETA122,CD145112,Systematic review 122,Intervention vs comparator,Disease progression,Active treatment,Standard care,11,4327,Risk Ratio,1.24,0.6,1.11,0.112,36,0.078,0.555,Random,Yes,Yes,Yes,Low,High,2015,Endocrinology
CMETA123,CD996749,Systematic review 123,Intervention vs comparator,Disease progression,Active treatment,Placebo,25,1532,Risk Ratio,1.17,0.84,1.27,0.131,65,0.065,0.675,Fixed,Yes,Yes,No,Unclear,Moderate,2020,Neurology
CMETA124,CD692840,Systematic review 124,Intervention vs comparator,Disease progression,Active treatment,Placebo,29,7735,Odds Ratio,0.65,0.76,1.12,0.141,34,0.035,0.756,Fixed,Yes,Yes,Yes,Low,High,2018,Psychiatry
CMETA125,CD801314,Systematic review 125,Intervention vs comparator,Disease progression,Active treatment,Standard care,27,5542,Odds Ratio,0.94,0.74,1.44,0.071,18,0.024,0.317,Random,Yes,Yes,Yes,Low,Low,2022,Cardiology
CMETA126,CD564961,Systematic review 126,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,19,1617,Hazard Ratio,1.32,0.62,1.38,0.147,30,0.132,0.284,Fixed,Yes,Yes,No,Low,Moderate,2020,Pulmonology
CMETA127,CD679894,Systematic review 127,Intervention vs comparator,Clinical response,Active treatment,Placebo,25,1760,Odds Ratio,1.22,0.57,1.45,0.024,31,0.085,0.556,Fixed,No,Yes,No,Unclear,High,2017,Oncology
CMETA128,CD261416,Systematic review 128,Intervention vs comparator,Disease progression,Active treatment,Placebo,14,3153,Odds Ratio,0.71,0.84,1.65,0.087,68,0.12,0.77,Fixed,No,No,No,Low,Low,2015,Endocrinology
CMETA129,CD413266,Systematic review 129,Intervention vs comparator,Mortality,Active treatment,Placebo,27,5616,Risk Ratio,0.98,0.62,1.14,0.062,58,0.141,0.425,Fixed,Yes,Yes,Yes,Low,Moderate,2018,Endocrinology
CMETA130,CD443706,Systematic review 130,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,27,4088,Odds Ratio,0.97,0.7,1.41,0.027,69,0.057,0.558,Fixed,No,Yes,No,High,Moderate,2015,Pulmonology
CMETA131,CD849305,Systematic review 131,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,17,1579,Risk Ratio,1.18,0.65,1.15,0.031,39,0.143,0.82,Random,Yes,No,No,Low,Moderate,2015,Psychiatry
CMETA132,CD248134,Systematic review 132,Intervention vs comparator,Mortality,Active treatment,Placebo,10,882,Odds Ratio,1.03,0.73,1.19,0.005,47,0.076,0.671,Fixed,No,No,No,Low,Moderate,2021,Rheumatology
CMETA133,CD681961,Systematic review 133,Intervention vs comparator,Clinical response,Active treatment,Standard care,21,7354,Hazard Ratio,0.7,0.61,1.57,0.006,27,0.135,0.739,Random,Yes,Yes,Yes,Unclear,Moderate,2021,Cardiology
CMETA134,CD494388,Systematic review 134,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,33,3605,Risk Ratio,1.15,0.63,1.13,0.041,39,0.04,0.73,Random,No,No,Yes,Unclear,Low,2016,Psychiatry
CMETA135,CD983835,Systematic review 135,Intervention vs comparator,Mortality,Active treatment,Standard care,30,7409,Odds Ratio,1.11,0.59,1.26,0.067,26,0.145,0.703,Fixed,No,Yes,No,Unclear,Moderate,2022,Psychiatry
CMETA136,CD173658,Systematic review 136,Intervention vs comparator,Clinical response,Active treatment,Standard care,23,2093,Odds Ratio,1.06,0.78,1.27,0.105,21,0.067,0.623,Random,No,Yes,Yes,Low,Moderate,2022,Oncology
CMETA137,CD494670,Systematic review 137,Intervention vs comparator,Clinical response,Active treatment,Standard care,32,4402,Hazard Ratio,0.69,0.6,1.27,0.128,73,0.06,0.143,Random,Yes,Yes,Yes,Low,Moderate,2018,Gastroenterology
CMETA138,CD971498,Systematic review 138,Intervention vs comparator,Mortality,Active treatment,Placebo,28,2390,Odds Ratio,0.75,0.71,1.2,0.077,71,0.013,0.209,Fixed,No,Yes,Yes,Unclear,Moderate,2019,Neurology
CMETA139,CD211873,Systematic review 139,Intervention vs comparator,Mortality,Active treatment,Standard care,32,7589,Hazard Ratio,0.77,0.64,1.3,0.053,64,0.012,0.394,Random,No,Yes,Yes,Low,Low,2023,Psychiatry
CMETA140,CD306875,Systematic review 140,Intervention vs comparator,Disease progression,Active treatment,Standard care,10,5942,Hazard Ratio,1.06,0.68,1.27,0.01,74,0.089,0.325,Random,No,Yes,No,Unclear,High,2021,Neurology
CMETA141,CD848151,Systematic review 141,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,32,5614,Odds Ratio,1.03,0.81,1.46,0.054,17,0.024,0.287,Fixed,Yes,Yes,Yes,High,High,2018,Rheumatology
CMETA142,CD760051,Systematic review 142,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,34,1546,Hazard Ratio,0.8,0.84,1.55,0.079,66,0.03,0.265,Fixed,Yes,Yes,No,Unclear,Low,2017,Rheumatology
CMETA143,CD821301,Systematic review 143,Intervention vs comparator,Mortality,Active treatment,Standard care,32,3374,Odds Ratio,1.14,0.57,1.06,0.058,59,0.065,0.069,Fixed,Yes,Yes,Yes,Low,Moderate,2015,Gastroenterology
CMETA144,CD494064,Systematic review 144,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,35,1192,Odds Ratio,0.93,0.65,1.52,0.066,54,0.098,0.8,Random,Yes,No,Yes,Low,Moderate,2018,Oncology
CMETA145,CD532108,Systematic review 145,Intervention vs comparator,Mortality,Active treatment,Placebo,31,1782,Hazard Ratio,1.05,0.59,1.2,0.002,69,0.097,0.807,Fixed,Yes,No,Yes,Low,Low,2017,Oncology
CMETA146,CD286299,Systematic review 146,Intervention vs comparator,Disease progression,Active treatment,Placebo,27,914,Mean Difference,1.28,0.54,1.61,0.085,72,0.057,0.695,Random,Yes,Yes,No,Low,Moderate,2018,Endocrinology
CMETA147,CD994423,Systematic review 147,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,22,1259,Odds Ratio,0.75,0.57,1.62,0.116,35,0.02,0.443,Random,No,Yes,No,Unclear,Moderate,2023,Gastroenterology
CMETA148,CD185093,Systematic review 148,Intervention vs comparator,Clinical response,Active treatment,Standard care,22,3444,Mean Difference,1.01,0.74,1.11,0.001,40,0.061,0.255,Random,No,No,Yes,High,Low,2017,Cardiology
CMETA149,CD155891,Systematic review 149,Intervention vs comparator,Disease progression,Active treatment,Placebo,25,6776,Mean Difference,0.87,0.74,1.33,0.099,54,0.083,0.787,Fixed,Yes,No,Yes,Low,Low,2021,Pulmonology
CMETA150,CD287232,Systematic review 150,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,23,4166,Risk Ratio,0.99,0.7,1.11,0.062,33,0.093,0.582,Fixed,No,No,Yes,Low,Low,2023,Gastroenterology
CMETA151,CD279723,Systematic review 151,Intervention vs comparator,Clinical response,Active treatment,Standard care,18,4017,Risk Ratio,1.18,0.73,1.23,0.136,33,0.141,0.804,Fixed,No,No,Yes,High,Moderate,2017,Rheumatology
CMETA152,CD540174,Systematic review 152,Intervention vs comparator,Disease progression,Active treatment,Placebo,18,5744,Odds Ratio,0.97,0.57,1.62,0.093,32,0.067,0.493,Random,Yes,Yes,Yes,High,Low,2016,Pulmonology
CMETA153,CD505185,Systematic review 153,Intervention vs comparator,Clinical response,Active treatment,Placebo,9,7312,Mean Difference,1.17,0.6,1.46,0.097,19,0.109,0.067,Random,No,Yes,Yes,Low,Low,2016,Psychiatry
CMETA154,CD131001,Systematic review 154,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,17,5950,Hazard Ratio,1.05,0.71,1.19,0.122,71,0.014,0.436,Random,No,No,Yes,Low,Low,2017,Psychiatry
CMETA155,CD533107,Systematic review 155,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,30,4808,Hazard Ratio,1.25,0.51,1.34,0.031,32,0.07,0.08,Random,No,No,Yes,Unclear,Moderate,2021,Gastroenterology
CMETA156,CD914420,Systematic review 156,Intervention vs comparator,Disease progression,Active treatment,Placebo,9,1619,Risk Ratio,0.71,0.81,1.18,0.037,70,0.142,0.7,Fixed,Yes,No,Yes,Low,High,2023,Cardiology
CMETA157,CD903682,Systematic review 157,Intervention vs comparator,Disease progression,Active treatment,Standard care,29,6425,Mean Difference,0.78,0.85,1.24,0.087,26,0.073,0.143,Random,No,Yes,Yes,Low,Moderate,2020,Gastroenterology
CMETA158,CD165857,Systematic review 158,Intervention vs comparator,Clinical response,Active treatment,Standard care,16,1985,Mean Difference,0.97,0.67,1.31,0.14,34,0.096,0.443,Random,No,No,Yes,Low,High,2019,Psychiatry
CMETA159,CD539917,Systematic review 159,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,18,3935,Hazard Ratio,0.74,0.61,1.41,0.033,17,0.138,0.387,Random,No,No,Yes,High,Low,2020,Endocrinology
CMETA160,CD748938,Systematic review 160,Intervention vs comparator,Clinical response,Active treatment,Standard care,19,5508,Hazard Ratio,0.8,0.79,1.34,0.037,35,0.014,0.179,Random,No,Yes,Yes,Low,Low,2017,Neurology
CMETA161,CD685263,Systematic review 161,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,15,6708,Risk Ratio,0.72,0.7,1.08,0.116,40,0.01,0.402,Random,Yes,No,No,Low,High,2019,Oncology
CMETA162,CD139539,Systematic review 162,Intervention vs comparator,Disease progression,Active treatment,Placebo,35,4496,Risk Ratio,1.27,0.58,1.55,0.112,49,0.026,0.184,Fixed,Yes,No,Yes,Low,Moderate,2017,Endocrinology
CMETA163,CD686428,Systematic review 163,Intervention vs comparator,Disease progression,Active treatment,Placebo,19,5971,Risk Ratio,1.13,0.82,1.34,0.044,38,0.133,0.592,Random,No,Yes,Yes,Low,High,2021,Endocrinology
CMETA164,CD218788,Systematic review 164,Intervention vs comparator,Disease progression,Active treatment,Placebo,23,2623,Risk Ratio,1.15,0.65,1.18,0.12,40,0.037,0.372,Fixed,Yes,Yes,Yes,Low,Moderate,2017,Neurology
CMETA165,CD570690,Systematic review 165,Intervention vs comparator,Disease progression,Active treatment,Placebo,24,3961,Odds Ratio,0.67,0.58,1.07,0.024,46,0.106,0.262,Random,Yes,Yes,Yes,Low,Moderate,2018,Rheumatology
CMETA166,CD168014,Systematic review 166,Intervention vs comparator,Clinical response,Active treatment,Standard care,12,2290,Risk Ratio,0.88,0.76,1.33,0.031,70,0.016,0.664,Random,Yes,Yes,No,High,Low,2023,Neurology
CMETA167,CD561726,Systematic review 167,Intervention vs comparator,Clinical response,Active treatment,Standard care,30,7485,Risk Ratio,1.07,0.7,1.16,0.133,71,0.068,0.797,Random,No,Yes,Yes,Low,High,2017,Pulmonology
CMETA168,CD343436,Systematic review 168,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,23,7583,Odds Ratio,0.79,0.7,1.16,0.095,57,0.126,0.416,Random,Yes,Yes,Yes,Low,Moderate,2015,Rheumatology
CMETA169,CD217929,Systematic review 169,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,8,7800,Risk Ratio,0.81,0.63,1.41,0.011,29,0.138,0.06,Fixed,Yes,Yes,Yes,Low,Low,2020,Neurology
CMETA170,CD398526,Systematic review 170,Intervention vs comparator,Disease progression,Active treatment,Standard care,35,7823,Hazard Ratio,0.67,0.7,1.17,0.08,39,0.118,0.762,Fixed,No,Yes,Yes,Unclear,Moderate,2018,Gastroenterology
CMETA171,CD672613,Systematic review 171,Intervention vs comparator,Mortality,Active treatment,Standard care,34,6998,Mean Difference,1.15,0.81,1.28,0.032,66,0.024,0.159,Random,No,Yes,Yes,Low,High,2015,Rheumatology
CMETA172,CD746072,Systematic review 172,Intervention vs comparator,Mortality,Active treatment,Placebo,30,1256,Risk Ratio,1.12,0.8,1.59,0.131,36,0.114,0.086,Fixed,Yes,No,Yes,Low,Moderate,2015,Rheumatology
CMETA173,CD765850,Systematic review 173,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,24,1465,Odds Ratio,1.33,0.84,1.58,0.002,71,0.077,0.193,Random,Yes,No,Yes,Low,Moderate,2021,Cardiology
CMETA174,CD360564,Systematic review 174,Intervention vs comparator,Disease progression,Active treatment,Placebo,20,3594,Mean Difference,0.98,0.61,1.54,0.076,68,0.021,0.272,Fixed,Yes,Yes,No,High,Moderate,2022,Neurology
CMETA175,CD457203,Systematic review 175,Intervention vs comparator,Disease progression,Active treatment,Placebo,14,3510,Odds Ratio,1.23,0.79,1.24,0.045,56,0.109,0.275,Random,Yes,Yes,Yes,Low,High,2023,Neurology
CMETA176,CD949925,Systematic review 176,Intervention vs comparator,Mortality,Active treatment,Standard care,24,3912,Hazard Ratio,0.95,0.65,1.14,0.136,28,0.077,0.627,Random,Yes,Yes,Yes,Low,Moderate,2016,Endocrinology
CMETA177,CD833563,Systematic review 177,Intervention vs comparator,Mortality,Active treatment,Placebo,31,1897,Hazard Ratio,1.26,0.83,1.64,0.063,23,0.13,0.327,Random,No,Yes,No,Low,Moderate,2018,Rheumatology
CMETA178,CD660503,Systematic review 178,Intervention vs comparator,Clinical response,Active treatment,Standard care,28,2991,Odds Ratio,0.71,0.83,1.19,0.132,17,0.114,0.129,Random,Yes,No,Yes,Low,Moderate,2022,Cardiology
CMETA179,CD538232,Systematic review 179,Intervention vs comparator,Mortality,Active treatment,Placebo,19,6743,Hazard Ratio,0.76,0.59,1.26,0.03,52,0.082,0.617,Random,Yes,Yes,Yes,Low,Moderate,2019,Neurology
CMETA180,CD132786,Systematic review 180,Intervention vs comparator,Disease progression,Active treatment,Placebo,10,4223,Mean Difference,1.34,0.72,1.49,0.059,28,0.129,0.604,Random,No,No,Yes,High,Moderate,2018,Pulmonology
CMETA181,CD131103,Systematic review 181,Intervention vs comparator,Clinical response,Active treatment,Standard care,32,4525,Risk Ratio,0.88,0.83,1.27,0.035,46,0.114,0.829,Fixed,Yes,Yes,Yes,High,Moderate,2018,Psychiatry
CMETA182,CD119150,Systematic review 182,Intervention vs comparator,Mortality,Active treatment,Placebo,26,906,Risk Ratio,1.33,0.6,1.34,0.003,60,0.049,0.653,Random,Yes,No,Yes,High,Moderate,2016,Rheumatology
CMETA183,CD502436,Systematic review 183,Intervention vs comparator,Disease progression,Active treatment,Placebo,24,4386,Risk Ratio,1.03,0.83,1.3,0.047,51,0.061,0.698,Random,Yes,Yes,Yes,Low,Moderate,2015,Psychiatry
CMETA184,CD919262,Systematic review 184,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,29,5012,Risk Ratio,0.8,0.63,1.27,0.078,70,0.122,0.503,Fixed,Yes,No,Yes,High,Moderate,2020,Cardiology
CMETA185,CD156596,Systematic review 185,Intervention vs comparator,Disease progression,Active treatment,Placebo,22,6045,Hazard Ratio,1.13,0.76,1.55,0.14,23,0.056,0.254,Random,No,Yes,Yes,Low,High,2022,Oncology
CMETA186,CD166435,Systematic review 186,Intervention vs comparator,Mortality,Active treatment,Standard care,10,2666,Odds Ratio,1.14,0.67,1.2,0.004,74,0.079,0.095,Random,Yes,Yes,Yes,Unclear,Moderate,2016,Endocrinology
CMETA187,CD311574,Systematic review 187,Intervention vs comparator,Clinical response,Active treatment,Placebo,20,5419,Hazard Ratio,0.79,0.58,1.2,0.065,32,0.106,0.1,Fixed,Yes,Yes,Yes,Unclear,Low,2023,Pulmonology
CMETA188,CD750914,Systematic review 188,Intervention vs comparator,Clinical response,Active treatment,Standard care,23,2349,Risk Ratio,0.81,0.53,1.07,0.051,55,0.105,0.498,Fixed,No,Yes,Yes,High,Low,2016,Psychiatry
CMETA189,CD431732,Systematic review 189,Intervention vs comparator,Mortality,Active treatment,Standard care,33,6548,Hazard Ratio,0.74,0.63,1.41,0.047,62,0.079,0.763,Random,Yes,Yes,Yes,High,Moderate,2020,Gastroenterology
CMETA190,CD625792,Systematic review 190,Intervention vs comparator,Disease progression,Active treatment,Standard care,13,7755,Hazard Ratio,1.33,0.82,1.6,0.035,54,0.136,0.098,Fixed,Yes,No,Yes,Low,High,2016,Psychiatry
CMETA191,CD403374,Systematic review 191,Intervention vs comparator,Clinical response,Active treatment,Placebo,27,3798,Mean Difference,0.75,0.78,1.32,0.017,69,0.038,0.188,Random,No,Yes,Yes,High,Low,2015,Oncology
CMETA192,CD172690,Systematic review 192,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,14,4535,Mean Difference,1.06,0.78,1.51,0.052,23,0.038,0.32,Fixed,Yes,Yes,Yes,Low,Low,2018,Pulmonology
CMETA193,CD758539,Systematic review 193,Intervention vs comparator,Disease progression,Active treatment,Standard care,24,7389,Hazard Ratio,1.11,0.82,1.47,0.042,28,0.062,0.381,Random,Yes,Yes,Yes,Low,Moderate,2018,Endocrinology
CMETA194,CD712147,Systematic review 194,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,10,6078,Risk Ratio,1.13,0.74,1.46,0.014,27,0.113,0.502,Random,Yes,No,Yes,Unclear,High,2016,Neurology
CMETA195,CD900837,Systematic review 195,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,16,1245,Odds Ratio,1.34,0.59,1.08,0.057,29,0.026,0.406,Random,Yes,No,No,High,Low,2019,Neurology
CMETA196,CD761584,Systematic review 196,Intervention vs comparator,Mortality,Active treatment,Placebo,9,1561,Odds Ratio,0.7,0.82,1.48,0.145,23,0.104,0.147,Random,No,No,No,Low,Moderate,2018,Gastroenterology
CMETA197,CD259645,Systematic review 197,Intervention vs comparator,Clinical response,Active treatment,Placebo,33,4686,Hazard Ratio,1.12,0.74,1.09,0.094,38,0.111,0.649,Fixed,No,Yes,Yes,Low,Moderate,2015,Rheumatology
CMETA198,CD195101,Systematic review 198,Intervention vs comparator,Clinical response,Active treatment,Standard care,13,4668,Odds Ratio,0.89,0.56,1.39,0.03,72,0.063,0.209,Fixed,No,Yes,Yes,Low,Moderate,2021,Oncology
CMETA199,CD341075,Systematic review 199,Intervention vs comparator,Mortality,Active treatment,Placebo,33,7330,Risk Ratio,0.74,0.55,1.52,0.099,24,0.097,0.718,Random,No,No,No,High,Moderate,2020,Rheumatology
CMETA200,CD528874,Systematic review 200,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,15,1359,Hazard Ratio,0.67,0.66,1.51,0.148,45,0.038,0.279,Random,No,Yes,No,Unclear,Moderate,2017,Endocrinology
CMETA201,CD321878,Systematic review 201,Intervention vs comparator,Clinical response,Active treatment,Standard care,25,3882,Mean Difference,0.78,0.75,1.08,0.137,35,0.05,0.332,Random,Yes,Yes,No,Low,Moderate,2016,Rheumatology
CMETA202,CD379733,Systematic review 202,Intervention vs comparator,Clinical response,Active treatment,Standard care,25,4466,Hazard Ratio,0.78,0.57,1.17,0.105,27,0.066,0.269,Fixed,No,Yes,Yes,Low,Moderate,2020,Neurology
CMETA203,CD169141,Systematic review 203,Intervention vs comparator,Clinical response,Active treatment,Placebo,14,6526,Risk Ratio,0.73,0.82,1.57,0.107,21,0.128,0.113,Random,No,Yes,No,Low,High,2015,Rheumatology
CMETA204,CD365669,Systematic review 204,Intervention vs comparator,Disease progression,Active treatment,Placebo,27,4541,Mean Difference,0.65,0.67,1.41,0.107,68,0.045,0.362,Random,No,Yes,Yes,Low,High,2020,Gastroenterology
CMETA205,CD680088,Systematic review 205,Intervention vs comparator,Disease progression,Active treatment,Placebo,11,2417,Hazard Ratio,0.81,0.79,1.22,0.074,31,0.058,0.111,Fixed,No,Yes,Yes,Low,Moderate,2022,Gastroenterology
CMETA206,CD319915,Systematic review 206,Intervention vs comparator,Disease progression,Active treatment,Placebo,9,7830,Odds Ratio,1.09,0.63,1.32,0.041,73,0.035,0.735,Fixed,No,Yes,No,Low,Moderate,2019,Cardiology
CMETA207,CD625608,Systematic review 207,Intervention vs comparator,Mortality,Active treatment,Standard care,21,2094,Risk Ratio,0.94,0.67,1.39,0.099,32,0.097,0.098,Fixed,No,Yes,No,Low,Low,2017,Psychiatry
CMETA208,CD592318,Systematic review 208,Intervention vs comparator,Clinical response,Active treatment,Placebo,15,5266,Hazard Ratio,1.3,0.74,1.08,0.057,55,0.033,0.272,Fixed,No,Yes,Yes,High,High,2018,Neurology
CMETA209,CD225163,Systematic review 209,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,24,5442,Odds Ratio,0.93,0.76,1.11,0.084,20,0.013,0.793,Random,Yes,Yes,Yes,Low,High,2023,Pulmonology
CMETA210,CD915877,Systematic review 210,Intervention vs comparator,Mortality,Active treatment,Placebo,19,5652,Mean Difference,0.74,0.81,1.48,0.144,68,0.116,0.791,Fixed,No,Yes,No,Unclear,Low,2023,Neurology
CMETA211,CD788893,Systematic review 211,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,34,6070,Odds Ratio,0.88,0.74,1.26,0.044,74,0.057,0.12,Fixed,No,Yes,No,Unclear,Low,2023,Cardiology
CMETA212,CD698281,Systematic review 212,Intervention vs comparator,Clinical response,Active treatment,Standard care,15,4639,Risk Ratio,1.2,0.83,1.51,0.114,26,0.088,0.618,Random,No,Yes,Yes,Low,Moderate,2022,Cardiology
CMETA213,CD329299,Systematic review 213,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,26,6881,Odds Ratio,0.97,0.83,1.17,0.031,43,0.044,0.397,Random,Yes,No,No,High,Low,2023,Neurology
CMETA214,CD325394,Systematic review 214,Intervention vs comparator,Mortality,Active treatment,Placebo,25,4557,Odds Ratio,1.31,0.62,1.28,0.147,71,0.039,0.477,Random,No,Yes,Yes,Low,High,2019,Rheumatology
CMETA215,CD424084,Systematic review 215,Intervention vs comparator,Mortality,Active treatment,Placebo,8,3754,Risk Ratio,1.17,0.79,1.13,0.023,74,0.138,0.393,Random,No,Yes,Yes,Low,Moderate,2019,Endocrinology
CMETA216,CD653801,Systematic review 216,Intervention vs comparator,Clinical response,Active treatment,Placebo,20,7874,Mean Difference,0.66,0.56,1.58,0.128,46,0.013,0.203,Random,Yes,No,No,Low,High,2023,Endocrinology
CMETA217,CD366704,Systematic review 217,Intervention vs comparator,Mortality,Active treatment,Standard care,24,4064,Risk Ratio,1.08,0.85,1.1,0.127,36,0.126,0.117,Random,Yes,Yes,Yes,Low,Moderate,2022,Gastroenterology
CMETA218,CD648343,Systematic review 218,Intervention vs comparator,Mortality,Active treatment,Placebo,35,3388,Hazard Ratio,1.05,0.84,1.43,0.086,64,0.026,0.249,Random,No,Yes,No,High,Low,2016,Endocrinology
CMETA219,CD338847,Systematic review 219,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,16,7518,Hazard Ratio,0.87,0.61,1.41,0.055,17,0.129,0.774,Fixed,No,Yes,No,Low,High,2016,Rheumatology
CMETA220,CD519469,Systematic review 220,Intervention vs comparator,Clinical response,Active treatment,Standard care,20,4283,Risk Ratio,1.04,0.73,1.64,0.083,26,0.105,0.337,Random,No,Yes,No,Low,Moderate,2015,Gastroenterology
CMETA221,CD599305,Systematic review 221,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,21,4760,Odds Ratio,1.1,0.6,1.19,0.086,19,0.118,0.254,Fixed,No,No,No,High,High,2018,Rheumatology
CMETA222,CD209057,Systematic review 222,Intervention vs comparator,Clinical response,Active treatment,Placebo,9,3455,Odds Ratio,1.12,0.57,1.56,0.015,58,0.144,0.127,Random,Yes,Yes,Yes,Low,High,2019,Cardiology
CMETA223,CD569083,Systematic review 223,Intervention vs comparator,Mortality,Active treatment,Standard care,21,6596,Hazard Ratio,1.32,0.65,1.34,0.068,64,0.088,0.724,Random,No,No,Yes,Low,Moderate,2016,Neurology
CMETA224,CD425851,Systematic review 224,Intervention vs comparator,Clinical response,Active treatment,Placebo,30,4313,Mean Difference,1.2,0.6,1.47,0.074,21,0.054,0.416,Random,Yes,No,Yes,High,Moderate,2015,Psychiatry
CMETA225,CD544762,Systematic review 225,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,33,1619,Odds Ratio,0.88,0.64,1.36,0.109,71,0.075,0.098,Fixed,Yes,Yes,Yes,Low,Low,2020,Neurology
CMETA226,CD277252,Systematic review 226,Intervention vs comparator,Clinical response,Active treatment,Placebo,30,4481,Risk Ratio,1.33,0.74,1.11,0.058,45,0.051,0.228,Random,No,Yes,Yes,High,Low,2022,Gastroenterology
CMETA227,CD260371,Systematic review 227,Intervention vs comparator,Clinical response,Active treatment,Placebo,12,7848,Mean Difference,0.91,0.82,1.27,0.125,50,0.137,0.07,Random,No,Yes,No,Low,Moderate,2021,Endocrinology
CMETA228,CD846665,Systematic review 228,Intervention vs comparator,Mortality,Active treatment,Standard care,35,2574,Mean Difference,0.8,0.54,1.15,0.033,15,0.018,0.357,Fixed,Yes,Yes,Yes,Unclear,Moderate,2019,Endocrinology
CMETA229,CD410257,Systematic review 229,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,17,6232,Odds Ratio,1.21,0.7,1.52,0.133,48,0.014,0.594,Random,Yes,Yes,Yes,High,Moderate,2015,Gastroenterology
CMETA230,CD557110,Systematic review 230,Intervention vs comparator,Disease progression,Active treatment,Placebo,23,6682,Odds Ratio,0.78,0.57,1.35,0.092,43,0.049,0.169,Random,Yes,Yes,No,Low,High,2021,Oncology
CMETA231,CD225526,Systematic review 231,Intervention vs comparator,Mortality,Active treatment,Standard care,20,4178,Mean Difference,0.83,0.54,1.55,0.074,74,0.131,0.567,Random,Yes,Yes,Yes,Low,Low,2023,Oncology
CMETA232,CD935256,Systematic review 232,Intervention vs comparator,Disease progression,Active treatment,Standard care,31,7845,Hazard Ratio,0.7,0.53,1.39,0.001,20,0.093,0.738,Random,No,No,No,Unclear,Moderate,2015,Psychiatry
CMETA233,CD762311,Systematic review 233,Intervention vs comparator,Mortality,Active treatment,Placebo,35,7258,Odds Ratio,1.29,0.79,1.35,0.097,59,0.057,0.434,Random,No,No,Yes,Unclear,High,2020,Cardiology
