cea_id,study_type,publication_year,country,perspective,therapeutic_area,intervention_type,model_type,time_horizon_years,intervention_cost_usd,comparator_cost_usd,incremental_cost_usd,intervention_qalys,comparator_qalys,incremental_qalys,icer_per_qaly,wtp_threshold,ce_conclusion,deterministic_sa_conducted,probabilistic_sa_conducted,prob_ce_at_wtp,discount_rate_costs,discount_rate_outcomes,cheers_quality_score,efficacy_from_rct,utility_data_source,half_cycle_correction,scenario_analyses_n,subgroup_analyses,equity_considerations,funding_source
CEA0246,Cost-Effectiveness Analysis (CEA),2016,South Korea,Government,Rare Diseases,Behavioral,Decision Tree,5,189196.56,141858.76,47337.8,6.69,11.7199,-5.0298,-9411.43,80000,Dominant,True,False,,0.035,0.035,24,True,EQ-5D,True,6,True,False,Independent
CEA0247,Cost-Benefit Analysis (CBA),2020,France,Healthcare payer,Diabetes,Surgical,Discrete Event Simulation,5,147236.19,6384.61,140851.58,12.5778,11.3627,1.2151,115917.86,80000,Marginally Cost-Effective,True,True,0.604,0.035,0.05,17,False,Expert Opinion,False,6,True,False,Mixed
CEA0248,Cost-Minimization Analysis (CMA),2023,South Korea,Healthcare payer,Infectious Disease,Prevention,Discrete Event Simulation,Lifetime,30975.93,119398.4,-88422.47,3.9691,4.2729,-0.3038,291096.38,80000,Not Cost-Effective,True,False,,0.04,0.04,24,True,Literature,True,1,False,False,Industry
CEA0249,Cost-Minimization Analysis (CMA),2019,Germany,Societal,Neurology,Screening,Decision Tree,10,193622.72,105941.06,87681.65,6.092,5.3901,0.702,124907.45,80000,Not Cost-Effective,True,True,0.436,0.03,0.04,23,True,Literature,False,9,False,True,Industry
CEA0250,Cost-Effectiveness Analysis (CEA),2017,USA,Patient,Mental Health,Pharmaceutical,Discrete Event Simulation,10,123531.03,130658.22,-7127.19,8.4948,10.6915,-2.1967,3244.48,100000,Highly Cost-Effective,True,True,0.653,0.04,0.03,22,False,SF-6D,True,2,True,False,Industry
CEA0251,Cost-Minimization Analysis (CMA),2020,Japan,Healthcare payer,Vaccines,Digital Health,Markov,10,107955.01,96564.69,11390.32,14.5031,12.7976,1.7055,6678.62,80000,Highly Cost-Effective,True,False,,0.03,0.05,17,False,HUI,False,2,False,True,Industry
CEA0252,Cost-Benefit Analysis (CBA),2023,USA,Government,Neurology,Behavioral,Hybrid,10,35901.91,97591.04,-61689.13,12.094,4.9681,7.1259,-8657.06,100000,Dominant,True,True,0.884,0.04,0.05,18,True,SF-6D,True,2,False,False,Government
CEA0253,Cost-Utility Analysis (CUA),2022,Spain,Societal,Infectious Disease,Device,Hybrid,30,139883.91,7186.7,132697.21,7.6862,12.5746,-4.8884,-27145.18,80000,Dominant,True,True,0.298,0.035,0.05,19,True,HUI,False,5,False,False,Independent
CEA0254,Cost-Utility Analysis (CUA),2023,South Korea,Societal,Vaccines,Surgical,Discrete Event Simulation,Lifetime,7716.46,47223.18,-39506.72,4.9946,3.6643,1.3303,-29697.71,80000,Dominant,True,False,,0.04,0.03,20,True,EQ-5D,True,1,False,False,Mixed
CEA0255,Cost-Benefit Analysis (CBA),2022,Australia,Patient,Neurology,Screening,Hybrid,1,8945.32,8780.59,164.74,7.187,9.4496,-2.2627,-72.81,80000,Dominant,True,True,0.312,0.03,0.04,22,True,Literature,True,7,True,False,Mixed
CEA0256,Cost-Minimization Analysis (CMA),2021,Italy,Government,Diabetes,Digital Health,Hybrid,10,198642.07,113587.69,85054.38,11.1894,6.8639,4.3255,19663.49,80000,Highly Cost-Effective,True,True,0.532,0.035,0.05,17,True,Expert Opinion,False,3,False,False,Government
CEA0257,Cost-Utility Analysis (CUA),2018,UK,Healthcare payer,Rheumatology,Surgical,Markov,10,61963.07,133409.2,-71446.13,5.392,9.2017,-3.8097,18753.55,50000,Highly Cost-Effective,True,True,0.757,0.04,0.035,20,True,Literature,False,6,False,False,Industry
CEA0258,Cost-Minimization Analysis (CMA),2023,South Korea,Hospital,Rare Diseases,Diagnostic,Markov,20,43963.26,22114.25,21849.02,6.893,3.9624,2.9305,7455.67,80000,Highly Cost-Effective,True,True,0.816,0.035,0.035,18,True,SF-6D,False,6,False,False,Industry
CEA0259,Cost-Effectiveness Analysis (CEA),2024,Canada,Patient,Neurology,Pharmaceutical,Discrete Event Simulation,Lifetime,13228.14,33169.64,-19941.5,13.7178,3.4608,10.257,-1944.18,80000,Dominant,True,True,0.846,0.03,0.04,21,True,Expert Opinion,True,1,True,False,Industry
CEA0260,Cost-Benefit Analysis (CBA),2024,Italy,Government,Rare Diseases,Prevention,Markov,5,111020.5,38182.51,72837.99,4.3307,12.7851,-8.4544,-8615.38,80000,Dominant,True,True,0.873,0.03,0.04,15,False,Expert Opinion,True,5,True,False,Independent
CEA0261,Cost-Minimization Analysis (CMA),2016,Spain,Healthcare payer,Neurology,Diagnostic,Discrete Event Simulation,10,131072.26,31982.29,99089.96,6.906,2.254,4.652,21300.32,80000,Highly Cost-Effective,True,True,0.518,0.03,0.03,24,True,HUI,True,6,False,False,Government
CEA0262,Cost-Benefit Analysis (CBA),2019,South Korea,Hospital,Respiratory,Screening,Hybrid,30,11673.07,19342.69,-7669.61,10.3087,9.285,1.0237,-7491.88,80000,Dominant,True,True,0.521,0.04,0.05,23,False,Expert Opinion,True,4,True,False,Industry
CEA0263,Budget Impact Analysis (BIA),2020,South Korea,Patient,Vaccines,Screening,Discrete Event Simulation,30,109716.47,71474.97,38241.49,7.6114,4.3154,3.296,11602.47,80000,Highly Cost-Effective,True,False,,0.03,0.035,12,False,HUI,True,4,True,False,Government
CEA0264,Cost-Benefit Analysis (CBA),2022,USA,Patient,Mental Health,Prevention,Hybrid,20,88936.61,96486.96,-7550.35,9.01,12.8382,-3.8282,1972.28,100000,Highly Cost-Effective,True,True,0.841,0.03,0.035,14,True,SF-6D,False,5,False,False,Government
CEA0265,Budget Impact Analysis (BIA),2024,UK,Hospital,Respiratory,Digital Health,Markov,Lifetime,141525.9,39654.01,101871.89,9.0471,7.6001,1.447,70402.72,50000,Marginally Cost-Effective,True,False,,0.035,0.04,16,True,Literature,True,4,False,False,Mixed
CEA0266,Budget Impact Analysis (BIA),2017,Netherlands,Societal,Vaccines,Digital Health,Discrete Event Simulation,20,55359.45,8121.03,47238.42,7.4793,12.2676,-4.7882,-9865.57,80000,Dominant,True,False,,0.04,0.035,24,True,HUI,False,6,False,False,Industry
CEA0267,Budget Impact Analysis (BIA),2022,Japan,Hospital,Diabetes,Screening,Decision Tree,10,184528.0,35322.29,149205.71,14.9152,10.1551,4.7602,31344.52,80000,Highly Cost-Effective,True,False,,0.04,0.03,21,True,SF-6D,False,7,False,False,Industry
CEA0268,Cost-Minimization Analysis (CMA),2015,Italy,Hospital,Rheumatology,Device,Markov,30,8413.98,27616.47,-19202.48,5.7929,9.8641,-4.0712,4716.68,80000,Highly Cost-Effective,True,True,0.407,0.035,0.04,14,True,SF-6D,False,4,False,True,Industry
CEA0269,Cost-Minimization Analysis (CMA),2019,South Korea,Hospital,Oncology,Prevention,Discrete Event Simulation,20,194657.51,27593.63,167063.88,13.7416,8.6817,5.0599,33017.5,80000,Highly Cost-Effective,True,True,0.571,0.035,0.04,20,True,Literature,True,4,True,False,Industry
CEA0270,Cost-Effectiveness Analysis (CEA),2019,UK,Healthcare payer,Vaccines,Pharmaceutical,Hybrid,5,143377.12,123447.25,19929.87,12.1192,2.3397,9.7795,2037.93,50000,Highly Cost-Effective,True,True,0.249,0.03,0.03,21,True,Expert Opinion,True,9,False,True,Industry
CEA0271,Cost-Utility Analysis (CUA),2019,Germany,Hospital,Rheumatology,Surgical,Hybrid,Lifetime,146971.75,46819.92,100151.83,5.4093,11.6918,-6.2825,-15941.44,80000,Dominant,True,True,0.765,0.05,0.03,15,True,Literature,False,2,False,False,Industry
CEA0272,Cost-Effectiveness Analysis (CEA),2024,Germany,Societal,Vaccines,Screening,Discrete Event Simulation,20,54453.72,74428.34,-19974.63,11.3633,2.1426,9.2207,-2166.28,80000,Dominant,True,True,0.802,0.04,0.05,19,True,SF-6D,True,9,False,False,Industry
CEA0273,Cost-Benefit Analysis (CBA),2019,France,Societal,Cardiology,Device,Hybrid,Lifetime,16684.11,77384.39,-60700.27,12.1975,9.2018,2.9956,-20262.93,80000,Dominant,True,False,,0.03,0.05,18,True,EQ-5D,True,9,True,False,Government
CEA0274,Cost-Minimization Analysis (CMA),2017,South Korea,Patient,Vaccines,Digital Health,Markov,30,196057.31,10481.55,185575.76,7.7322,12.0217,-4.2894,-43263.31,80000,Dominant,True,True,0.765,0.035,0.04,16,True,HUI,False,7,True,False,Government
CEA0275,Cost-Utility Analysis (CUA),2023,Italy,Patient,Oncology,Behavioral,Discrete Event Simulation,20,106755.94,111613.97,-4858.03,3.162,12.8053,-9.6433,503.77,80000,Highly Cost-Effective,True,False,,0.05,0.04,24,False,Expert Opinion,True,2,False,True,Independent
CEA0276,Cost-Benefit Analysis (CBA),2019,South Korea,Government,Infectious Disease,Screening,Hybrid,20,192634.15,13329.27,179304.87,3.1006,8.5811,-5.4805,-32717.11,80000,Dominant,True,True,0.749,0.035,0.03,18,True,Expert Opinion,True,9,False,False,Industry
CEA0277,Cost-Utility Analysis (CUA),2017,Sweden,Government,Cardiology,Device,Discrete Event Simulation,Lifetime,172395.4,146429.64,25965.76,13.4578,6.844,6.6138,3925.98,80000,Highly Cost-Effective,True,True,0.645,0.05,0.04,23,True,HUI,True,0,True,False,Government
CEA0278,Cost-Benefit Analysis (CBA),2020,Canada,Patient,Vaccines,Behavioral,Markov,20,74495.68,61987.87,12507.81,14.0131,2.1576,11.8555,1055.02,80000,Highly Cost-Effective,True,False,,0.035,0.05,15,True,EQ-5D,True,0,False,True,Independent
CEA0279,Cost-Minimization Analysis (CMA),2015,Netherlands,Hospital,Cardiology,Surgical,Discrete Event Simulation,20,149666.48,44789.74,104876.74,5.9422,13.8633,-7.9212,-13240.06,80000,Dominant,True,False,,0.04,0.05,17,True,HUI,True,3,False,False,Government
CEA0280,Budget Impact Analysis (BIA),2015,UK,Hospital,Infectious Disease,Diagnostic,Discrete Event Simulation,1,156508.03,2694.55,153813.48,10.9259,2.0013,8.9246,17234.81,50000,Highly Cost-Effective,True,True,0.688,0.035,0.05,20,False,Expert Opinion,False,6,False,False,Industry
CEA0281,Cost-Effectiveness Analysis (CEA),2024,UK,Healthcare payer,Respiratory,Diagnostic,Decision Tree,1,122809.77,131483.58,-8673.81,9.3245,3.0784,6.246,-1388.69,50000,Dominant,True,False,,0.05,0.03,23,True,HUI,True,1,True,False,Industry
CEA0282,Cost-Minimization Analysis (CMA),2022,South Korea,Patient,Neurology,Digital Health,Markov,20,177618.28,26373.82,151244.46,6.954,11.6492,-4.6952,-32212.51,80000,Dominant,True,True,0.49,0.03,0.035,18,True,HUI,False,7,False,True,Government
CEA0283,Cost-Minimization Analysis (CMA),2023,Australia,Healthcare payer,Cardiology,Behavioral,Decision Tree,1,88426.77,146615.75,-58188.98,7.5548,10.8747,-3.3199,17527.54,80000,Highly Cost-Effective,True,True,0.668,0.05,0.035,13,True,Literature,True,0,True,False,Government
CEA0284,Cost-Effectiveness Analysis (CEA),2023,UK,Patient,Respiratory,Prevention,Markov,10,117187.6,17920.57,99267.03,10.3774,6.7735,3.6039,27544.38,50000,Cost-Effective,True,True,0.427,0.04,0.04,20,False,HUI,False,6,True,False,Mixed
CEA0285,Cost-Effectiveness Analysis (CEA),2020,Canada,Hospital,Respiratory,Prevention,Hybrid,10,26618.03,37553.59,-10935.56,9.9327,13.0247,-3.0921,3536.64,80000,Highly Cost-Effective,True,False,,0.04,0.05,19,True,Literature,True,8,True,True,Government
CEA0286,Cost-Minimization Analysis (CMA),2017,Japan,Government,Rare Diseases,Screening,Discrete Event Simulation,10,152065.13,130973.21,21091.92,6.376,3.1426,3.2334,6523.12,80000,Highly Cost-Effective,True,True,0.667,0.04,0.04,12,True,Literature,True,5,True,False,Government
CEA0287,Cost-Benefit Analysis (CBA),2017,Italy,Hospital,Mental Health,Diagnostic,Hybrid,5,31096.82,137298.47,-106201.65,9.9859,11.5423,-1.5564,68237.03,80000,Cost-Effective,True,True,0.489,0.035,0.035,14,True,HUI,True,6,False,False,Government
CEA0288,Budget Impact Analysis (BIA),2023,USA,Hospital,Vaccines,Device,Decision Tree,1,76504.38,63822.58,12681.8,6.5289,3.7791,2.7497,4612.02,100000,Highly Cost-Effective,True,False,,0.03,0.035,21,True,HUI,False,9,True,False,Industry
CEA0289,Budget Impact Analysis (BIA),2021,Italy,Patient,Diabetes,Pharmaceutical,Hybrid,5,15939.19,111006.96,-95067.77,5.122,11.6614,-6.5394,14537.62,80000,Highly Cost-Effective,True,True,0.624,0.035,0.04,12,False,HUI,True,9,True,False,Government
CEA0290,Cost-Effectiveness Analysis (CEA),2018,UK,Hospital,Neurology,Prevention,Decision Tree,Lifetime,128999.39,77843.4,51155.98,5.6444,11.1731,-5.5287,-9252.85,50000,Dominant,True,True,0.651,0.035,0.03,19,True,HUI,False,1,False,False,Government
CEA0291,Budget Impact Analysis (BIA),2019,Sweden,Societal,Respiratory,Diagnostic,Decision Tree,5,68826.62,99229.26,-30402.64,9.5886,5.3413,4.2472,-7158.21,80000,Dominant,True,True,0.608,0.03,0.05,24,False,HUI,False,4,True,False,Industry
CEA0292,Cost-Utility Analysis (CUA),2016,Australia,Societal,Vaccines,Prevention,Hybrid,30,116140.7,36385.02,79755.68,12.5685,11.2904,1.2781,62400.75,80000,Cost-Effective,True,True,0.305,0.04,0.04,16,False,Expert Opinion,True,6,True,False,Industry
CEA0293,Cost-Minimization Analysis (CMA),2018,Italy,Hospital,Cardiology,Pharmaceutical,Hybrid,5,133077.46,18185.68,114891.77,10.2222,13.8138,-3.5916,-31988.97,80000,Dominant,True,False,,0.035,0.03,13,True,Literature,False,7,False,False,Industry
CEA0294,Cost-Benefit Analysis (CBA),2016,Netherlands,Hospital,Rheumatology,Behavioral,Markov,1,104537.46,61686.27,42851.18,6.5398,2.6474,3.8924,11009.01,80000,Highly Cost-Effective,True,False,,0.03,0.035,16,True,Literature,False,8,False,False,Industry
CEA0295,Budget Impact Analysis (BIA),2018,Spain,Healthcare payer,Mental Health,Prevention,Hybrid,1,113282.08,58886.87,54395.21,10.5804,13.3684,-2.788,-19510.18,80000,Dominant,True,True,0.893,0.04,0.03,15,False,Expert Opinion,True,5,False,True,Industry
CEA0296,Cost-Benefit Analysis (CBA),2024,Italy,Patient,Infectious Disease,Screening,Hybrid,5,28856.03,93272.78,-64416.76,9.0666,5.5769,3.4897,-18458.92,80000,Dominant,True,True,0.472,0.04,0.04,14,True,EQ-5D,True,9,True,True,Government
CEA0297,Cost-Utility Analysis (CUA),2017,Sweden,Societal,Oncology,Device,Discrete Event Simulation,30,87435.95,81428.85,6007.11,13.6558,9.594,4.0619,1478.9,80000,Highly Cost-Effective,True,True,0.677,0.03,0.03,24,False,SF-6D,True,3,False,True,Industry
CEA0298,Budget Impact Analysis (BIA),2022,Netherlands,Government,Neurology,Prevention,Markov,30,90214.16,143214.47,-53000.32,4.774,12.2032,-7.4291,7134.11,80000,Highly Cost-Effective,True,False,,0.04,0.05,22,False,Expert Opinion,True,7,False,False,Mixed
CEA0299,Cost-Benefit Analysis (CBA),2020,Germany,Government,Rheumatology,Surgical,Markov,Lifetime,50219.57,78861.76,-28642.18,10.1514,6.3499,3.8015,-7534.47,80000,Dominant,True,True,0.655,0.03,0.03,17,True,Expert Opinion,False,7,False,False,Industry
CEA0300,Cost-Minimization Analysis (CMA),2018,Italy,Hospital,Cardiology,Behavioral,Hybrid,5,150195.12,34571.13,115623.99,10.7249,13.0688,-2.3439,-49329.45,80000,Dominant,True,True,0.746,0.03,0.04,13,True,Expert Opinion,True,1,True,False,Independent
CEA0301,Cost-Utility Analysis (CUA),2021,Japan,Societal,Neurology,Prevention,Markov,Lifetime,145459.47,79195.8,66263.67,11.0213,3.8868,7.1345,9287.78,80000,Highly Cost-Effective,True,True,0.545,0.05,0.05,15,True,HUI,True,1,False,False,Government
CEA0302,Cost-Effectiveness Analysis (CEA),2015,USA,Societal,Neurology,Screening,Discrete Event Simulation,1,55734.81,89012.87,-33278.06,3.308,4.9547,-1.6467,20209.3,100000,Highly Cost-Effective,True,True,0.822,0.035,0.04,21,False,EQ-5D,True,9,True,False,Independent
CEA0303,Cost-Effectiveness Analysis (CEA),2016,Australia,Societal,Respiratory,Screening,Decision Tree,20,94011.1,139198.95,-45187.85,12.232,11.9773,0.2547,-177439.87,80000,Dominant,True,False,,0.04,0.05,19,False,Expert Opinion,False,1,False,False,Mixed
CEA0304,Cost-Benefit Analysis (CBA),2015,Spain,Hospital,Rheumatology,Pharmaceutical,Discrete Event Simulation,5,91763.48,121369.32,-29605.84,12.3956,6.9745,5.4211,-5461.2,80000,Dominant,True,True,0.688,0.04,0.05,23,False,Expert Opinion,True,5,False,False,Industry
CEA0305,Cost-Minimization Analysis (CMA),2016,UK,Hospital,Diabetes,Diagnostic,Decision Tree,20,180382.23,16391.42,163990.81,13.7162,4.367,9.3491,17540.73,50000,Highly Cost-Effective,True,True,0.68,0.04,0.05,14,True,Literature,True,5,False,False,Government
CEA0306,Cost-Effectiveness Analysis (CEA),2018,France,Government,Infectious Disease,Diagnostic,Decision Tree,Lifetime,8797.57,79876.09,-71078.52,9.7838,2.9459,6.8378,-10394.89,80000,Dominant,True,True,0.377,0.05,0.05,17,True,Expert Opinion,True,6,False,True,Industry
CEA0307,Budget Impact Analysis (BIA),2015,UK,Hospital,Cardiology,Device,Markov,5,190455.94,99005.06,91450.89,3.0681,6.308,-3.2399,-28226.68,50000,Dominant,True,True,0.799,0.03,0.035,24,False,SF-6D,False,9,True,False,Independent
CEA0308,Cost-Benefit Analysis (CBA),2019,Australia,Patient,Mental Health,Diagnostic,Discrete Event Simulation,20,131778.12,63133.46,68644.67,8.7005,12.6909,-3.9905,-17202.16,80000,Dominant,True,True,0.616,0.03,0.05,12,True,SF-6D,True,7,False,False,Industry
CEA0309,Cost-Utility Analysis (CUA),2021,USA,Government,Infectious Disease,Behavioral,Markov,1,103461.1,13165.42,90295.69,10.3989,4.8991,5.4998,16417.87,100000,Highly Cost-Effective,True,True,0.752,0.03,0.04,20,True,Expert Opinion,False,2,False,False,Independent
CEA0310,Cost-Benefit Analysis (CBA),2023,Netherlands,Government,Vaccines,Surgical,Markov,Lifetime,48728.81,129309.65,-80580.84,10.5085,6.7844,3.724,-21638.01,80000,Dominant,True,True,0.453,0.05,0.04,13,True,EQ-5D,False,7,True,False,Industry
CEA0311,Cost-Benefit Analysis (CBA),2017,Japan,Societal,Neurology,Diagnostic,Discrete Event Simulation,5,148837.82,75106.7,73731.12,12.3555,7.4106,4.9448,14910.69,80000,Highly Cost-Effective,False,True,0.415,0.03,0.035,15,True,HUI,True,4,False,False,Government
CEA0312,Cost-Effectiveness Analysis (CEA),2021,Netherlands,Healthcare payer,Neurology,Prevention,Discrete Event Simulation,30,34348.91,55366.76,-21017.85,9.771,9.8814,-0.1104,190302.03,80000,Not Cost-Effective,True,True,0.452,0.04,0.03,16,True,HUI,True,4,False,False,Government
CEA0313,Budget Impact Analysis (BIA),2018,Spain,Patient,Rare Diseases,Digital Health,Decision Tree,1,72325.25,71180.76,1144.49,13.7451,2.2693,11.4758,99.73,80000,Highly Cost-Effective,True,True,0.66,0.05,0.03,21,False,SF-6D,False,9,False,False,Industry
CEA0314,Cost-Utility Analysis (CUA),2016,Australia,Government,Vaccines,Digital Health,Discrete Event Simulation,Lifetime,93276.58,44570.24,48706.34,11.351,7.303,4.0481,12031.93,80000,Highly Cost-Effective,True,True,0.944,0.03,0.035,14,True,SF-6D,True,6,True,False,Industry
CEA0315,Budget Impact Analysis (BIA),2015,Sweden,Healthcare payer,Vaccines,Behavioral,Discrete Event Simulation,30,159091.56,44735.33,114356.23,14.5546,13.8028,0.7518,152106.94,80000,Not Cost-Effective,True,False,,0.04,0.03,18,False,HUI,True,7,False,False,Industry
CEA0316,Cost-Utility Analysis (CUA),2016,Spain,Societal,Respiratory,Digital Health,Decision Tree,Lifetime,42755.38,53864.26,-11108.88,12.3907,9.7251,2.6656,-4167.49,80000,Dominant,True,True,0.503,0.04,0.03,15,True,SF-6D,True,7,True,False,Government
CEA0317,Cost-Utility Analysis (CUA),2015,Italy,Healthcare payer,Neurology,Device,Decision Tree,Lifetime,104397.11,66790.2,37606.91,5.6612,5.6232,0.038,989031.1,80000,Not Cost-Effective,True,True,0.47,0.035,0.05,20,True,SF-6D,True,0,False,False,Industry
CEA0318,Cost-Effectiveness Analysis (CEA),2018,USA,Patient,Respiratory,Surgical,Hybrid,5,66956.18,88016.14,-21059.96,7.0541,6.7154,0.3387,-62184.71,100000,Dominant,True,False,,0.04,0.05,14,False,Expert Opinion,False,4,False,False,Industry
CEA0319,Budget Impact Analysis (BIA),2021,Sweden,Societal,Diabetes,Pharmaceutical,Hybrid,10,102108.03,20514.62,81593.4,7.6246,4.1859,3.4387,23728.1,80000,Highly Cost-Effective,True,True,0.568,0.05,0.05,17,True,Literature,False,0,True,True,Independent
CEA0320,Cost-Benefit Analysis (CBA),2019,Netherlands,Societal,Diabetes,Pharmaceutical,Decision Tree,20,9935.16,16454.29,-6519.13,3.0029,10.3639,-7.361,885.63,80000,Highly Cost-Effective,True,True,0.775,0.04,0.03,17,True,EQ-5D,True,3,False,False,Industry
CEA0321,Cost-Minimization Analysis (CMA),2022,Germany,Healthcare payer,Infectious Disease,Digital Health,Discrete Event Simulation,30,118216.48,133478.43,-15261.95,3.6677,11.8805,-8.2128,1858.31,80000,Highly Cost-Effective,False,True,0.434,0.05,0.04,22,False,Expert Opinion,False,9,False,False,Government
CEA0322,Cost-Minimization Analysis (CMA),2017,Germany,Societal,Rheumatology,Surgical,Hybrid,10,66397.42,72233.12,-5835.7,13.4052,5.0247,8.3805,-696.34,80000,Dominant,True,False,,0.04,0.04,16,True,Literature,True,1,False,False,Mixed
CEA0323,Budget Impact Analysis (BIA),2020,Canada,Government,Infectious Disease,Pharmaceutical,Markov,20,126928.08,114633.24,12294.84,7.8059,6.8089,0.9969,12332.63,80000,Highly Cost-Effective,True,True,0.655,0.03,0.035,12,True,SF-6D,False,3,True,True,Industry
CEA0324,Cost-Utility Analysis (CUA),2015,Sweden,Healthcare payer,Vaccines,Surgical,Discrete Event Simulation,10,193456.55,43652.95,149803.6,5.5611,8.4345,-2.8734,-52134.68,80000,Dominant,True,True,0.813,0.05,0.04,14,False,EQ-5D,True,7,True,False,Government
CEA0325,Cost-Utility Analysis (CUA),2016,France,Healthcare payer,Rheumatology,Device,Hybrid,Lifetime,98620.11,142431.67,-43811.56,11.7767,10.8665,0.9103,-48131.35,80000,Dominant,True,True,0.465,0.04,0.05,22,True,Expert Opinion,False,3,True,True,Independent
CEA0326,Budget Impact Analysis (BIA),2020,Netherlands,Government,Infectious Disease,Prevention,Markov,Lifetime,143964.82,111386.99,32577.83,6.3501,2.8849,3.4652,9401.33,80000,Highly Cost-Effective,True,False,,0.035,0.04,17,True,EQ-5D,True,8,False,False,Government
CEA0327,Cost-Effectiveness Analysis (CEA),2016,Sweden,Societal,Rheumatology,Digital Health,Decision Tree,10,162425.5,98370.72,64054.78,10.6478,2.2095,8.4383,7590.93,80000,Highly Cost-Effective,True,False,,0.05,0.05,16,False,EQ-5D,False,8,False,True,Industry
CEA0328,Cost-Effectiveness Analysis (CEA),2016,Germany,Patient,Neurology,Screening,Hybrid,30,124974.09,124048.09,926.0,9.038,3.2299,5.8081,159.43,80000,Highly Cost-Effective,True,True,0.373,0.04,0.03,13,True,HUI,False,5,False,False,Independent
CEA0329,Cost-Minimization Analysis (CMA),2023,Sweden,Patient,Infectious Disease,Pharmaceutical,Discrete Event Simulation,Lifetime,69879.1,12287.55,57591.55,6.1858,10.1937,-4.0079,-14369.38,80000,Dominant,True,True,0.398,0.04,0.05,23,False,Literature,True,5,False,False,Industry
CEA0330,Cost-Minimization Analysis (CMA),2015,UK,Government,Respiratory,Pharmaceutical,Markov,20,165401.59,149763.34,15638.26,9.9412,2.7057,7.2355,2161.33,50000,Highly Cost-Effective,True,True,0.36,0.035,0.035,24,False,HUI,False,2,False,False,Independent
CEA0331,Cost-Benefit Analysis (CBA),2024,Sweden,Hospital,Respiratory,Surgical,Discrete Event Simulation,10,55780.31,35313.61,20466.7,6.6403,12.4896,-5.8493,-3499.02,80000,Dominant,True,True,0.463,0.03,0.03,22,False,EQ-5D,True,3,False,False,Industry
CEA0332,Cost-Utility Analysis (CUA),2018,Italy,Hospital,Cardiology,Digital Health,Discrete Event Simulation,5,15715.51,120663.61,-104948.1,14.9678,2.7356,12.2322,-8579.67,80000,Dominant,True,True,0.715,0.04,0.05,16,True,Expert Opinion,False,8,False,True,Government
CEA0333,Cost-Benefit Analysis (CBA),2015,USA,Healthcare payer,Respiratory,Digital Health,Decision Tree,30,134649.63,120620.17,14029.46,4.4658,12.0418,-7.576,-1851.82,100000,Dominant,True,True,0.916,0.05,0.05,21,True,HUI,True,8,True,False,Government
CEA0334,Cost-Effectiveness Analysis (CEA),2018,Italy,Healthcare payer,Cardiology,Prevention,Decision Tree,10,131936.51,134627.65,-2691.14,12.3882,7.544,4.8442,-555.53,80000,Dominant,False,False,,0.05,0.05,20,True,SF-6D,False,8,True,True,Industry
CEA0335,Budget Impact Analysis (BIA),2018,Netherlands,Hospital,Vaccines,Diagnostic,Hybrid,30,170997.83,13563.32,157434.51,4.301,9.6874,-5.3864,-29228.33,80000,Dominant,False,True,0.579,0.05,0.04,13,False,Literature,True,3,False,False,Industry
CEA0336,Cost-Benefit Analysis (CBA),2024,Australia,Government,Infectious Disease,Pharmaceutical,Markov,30,194047.8,144066.52,49981.28,5.6533,4.711,0.9423,53042.74,80000,Cost-Effective,True,True,0.892,0.04,0.035,22,True,HUI,False,3,True,False,Government
CEA0337,Cost-Utility Analysis (CUA),2015,Japan,Healthcare payer,Oncology,Diagnostic,Discrete Event Simulation,10,61250.38,20237.54,41012.84,12.8342,6.5902,6.244,6568.33,80000,Highly Cost-Effective,True,True,0.902,0.035,0.05,17,True,EQ-5D,True,9,False,True,Industry
CEA0338,Cost-Utility Analysis (CUA),2019,Italy,Hospital,Oncology,Device,Discrete Event Simulation,5,15115.56,91719.38,-76603.82,4.2264,5.4098,-1.1833,64735.6,80000,Cost-Effective,True,True,0.554,0.05,0.03,19,False,EQ-5D,False,1,True,True,Industry
CEA0339,Cost-Utility Analysis (CUA),2018,Germany,Patient,Mental Health,Digital Health,Hybrid,10,9480.04,91663.99,-82183.95,9.281,11.4012,-2.1203,38761.26,80000,Highly Cost-Effective,True,False,,0.04,0.04,24,True,Literature,True,9,False,True,Industry
CEA0340,Cost-Utility Analysis (CUA),2017,Australia,Societal,Infectious Disease,Digital Health,Discrete Event Simulation,10,130372.01,20941.26,109430.75,11.1312,2.7083,8.4229,12992.12,80000,Highly Cost-Effective,True,False,,0.03,0.035,20,True,SF-6D,False,4,False,False,Industry
CEA0341,Cost-Utility Analysis (CUA),2016,Australia,Societal,Respiratory,Surgical,Markov,1,197625.79,138997.46,58628.34,14.3371,9.3879,4.9493,11845.82,80000,Highly Cost-Effective,True,True,0.461,0.04,0.04,18,True,Literature,True,9,False,False,Industry
CEA0342,Cost-Effectiveness Analysis (CEA),2016,Japan,Societal,Rheumatology,Diagnostic,Discrete Event Simulation,1,115836.67,1299.28,114537.4,11.5567,6.9714,4.5853,24979.44,80000,Highly Cost-Effective,True,False,,0.05,0.03,15,True,HUI,True,5,False,False,Industry
CEA0343,Budget Impact Analysis (BIA),2021,Italy,Patient,Rheumatology,Screening,Hybrid,30,25597.02,97339.57,-71742.55,9.6855,6.5753,3.1102,-23067.18,80000,Dominant,True,True,0.727,0.03,0.03,18,True,Expert Opinion,False,0,True,False,Government
