hta_id,agency,assessment_date,assessment_year,technology_category,therapeutic_area,n_rcts,n_observational_studies,total_patients_evidence,primary_endpoint_met,effect_size,serious_adverse_events_rate,discontinuation_rate,icer_per_qaly,willingness_to_pay_threshold,budget_impact_annual,certainty_of_evidence,cost_effectiveness_score,clinical_benefit_score,innovation_score,decision,reimbursement_rate,time_to_decision_months,market_exclusivity_years,managed_entry_agreement,manufacturer_appeals
HTA0241,SMC (Scotland),2022-09-24,2022,Medical Devices,Oncology,20,4,1145,True,1.961,0.1657,0.1966,71414.15,100000,26408073.51,Low,5.62,3.89,6.36,Restricted,0.799,7,4,True,False
HTA0242,G-BA (Germany),2018-05-10,2018,Preventive Interventions,Infectious Disease,2,8,8142,False,0.344,0.1882,0.1087,22452.72,100000,7692870.2,Low,9.36,4.87,2.07,Restricted,0.654,20,10,True,False
HTA0243,NICE (UK),2024-04-28,2024,Rehabilitation Technologies,Hematology,6,13,5683,True,1.751,0.0759,0.2686,16768.81,50000,45768045.43,Low,7.18,8.34,8.9,Recommended,0.955,21,1,False,False
HTA0244,CVZ (Netherlands),2024-08-18,2024,Surgical Procedures,Neurology,10,6,4665,False,0.387,0.1057,0.352,43725.88,100000,53931431.38,Low,3.93,9.59,2.1,Restricted,0.505,22,5,True,False
HTA0245,SMC (Scotland),2024-07-19,2024,Pharmaceuticals,Oncology,22,14,3868,True,0.752,0.1004,0.3566,136268.35,100000,49802740.19,Moderate,1.96,9.58,1.54,Conditional,0.419,19,5,False,False
HTA0246,TLV (Sweden),2020-08-23,2020,Screening Programs,Rheumatology,19,8,8207,True,1.783,0.0203,0.3526,22205.79,100000,18015774.7,Moderate,7.64,2.25,4.96,Conditional,0.493,18,0,True,False
HTA0247,NICE (UK),2024-12-21,2024,Preventive Interventions,Respiratory,7,11,6066,False,0.453,0.1911,0.2059,90872.1,50000,70392601.14,Moderate,5.02,8.47,6.89,Restricted,0.623,3,14,True,False
HTA0248,SMC (Scotland),2023-01-23,2023,Diagnostic Tests,Cardiology,23,9,6704,False,0.454,0.0946,0.0651,30968.77,100000,39829561.55,Very Low,2.27,7.87,1.98,Conditional,0.693,18,13,False,False
HTA0249,G-BA (Germany),2022-02-01,2022,Diagnostic Tests,Respiratory,9,8,6826,False,0.125,0.204,0.0742,53544.41,100000,32056609.35,Low,4.2,2.34,6.37,Conditional,0.626,19,0,False,False
HTA0250,CVZ (Netherlands),2018-11-28,2018,Diagnostic Tests,Gastroenterology,17,13,4693,True,0.635,0.1342,0.1946,33905.1,100000,41824282.24,High,6.18,8.68,7.53,Restricted,0.608,23,5,False,False
HTA0251,NCPE (Ireland),2018-01-24,2018,Screening Programs,Gastroenterology,5,8,3301,True,0.237,0.205,0.17,21165.71,100000,57470539.65,Low,7.43,3.16,4.99,Restricted,0.585,12,12,True,False
HTA0252,CVZ (Netherlands),2022-02-17,2022,Surgical Procedures,Infectious Disease,9,13,3604,True,-0.488,0.1305,0.2541,88949.97,100000,6396680.82,Moderate,5.49,2.95,8.85,Restricted,0.526,16,16,False,False
HTA0253,PBAC (Australia),2018-10-19,2018,Diagnostic Tests,Cardiology,17,11,8196,True,0.437,0.184,0.3287,125775.92,100000,98591056.71,Low,6.41,4.05,5.9,Restricted,0.512,3,16,False,False
HTA0254,SMC (Scotland),2022-07-28,2022,Rehabilitation Technologies,Gastroenterology,6,3,9649,True,0.112,0.0801,0.312,74977.18,100000,22387112.6,Very Low,7.44,9.61,4.84,Restricted,0.643,14,11,True,False
HTA0255,NCPE (Ireland),2022-12-16,2022,Medical Devices,Immunology,4,7,1701,True,0.574,0.0901,0.1857,25063.39,100000,74078658.78,Low,9.45,5.43,7.31,Restricted,0.757,16,15,False,False
HTA0256,SMC (Scotland),2019-12-20,2019,Surgical Procedures,Rheumatology,22,13,3222,True,1.166,0.1501,0.1224,128453.83,100000,9342172.25,Moderate,7.12,3.47,8.45,Restricted,0.722,23,4,False,False
HTA0257,G-BA (Germany),2019-05-08,2019,Gene Therapy,Oncology,21,8,4617,False,0.167,0.1145,0.3836,109290.55,100000,93086355.08,Moderate,3.33,1.48,7.53,Conditional,0.349,21,0,True,False
HTA0258,CADTH (Canada),2019-05-22,2019,Rehabilitation Technologies,Cardiology,4,1,2344,True,-0.136,0.1831,0.1143,52615.9,100000,49233988.69,High,3.24,4.67,3.52,Conditional,0.355,6,9,True,False
HTA0259,NCPE (Ireland),2021-06-18,2021,Surgical Procedures,Immunology,21,5,3832,True,-0.291,0.2244,0.1857,46742.55,100000,72744929.17,Low,8.76,3.84,8.67,Restricted,0.512,8,16,True,False
HTA0260,SMC (Scotland),2019-08-08,2019,Screening Programs,Neurology,21,7,169,True,0.21,0.126,0.2002,15859.9,100000,11509875.0,Low,3.16,2.75,5.54,Conditional,0.607,12,10,True,False
HTA0261,TLV (Sweden),2023-07-07,2023,Surgical Procedures,Gastroenterology,8,0,6501,True,0.765,0.0196,0.2072,88753.9,100000,57519798.32,Moderate,3.84,1.96,4.3,Conditional,0.34,22,16,True,False
HTA0262,CVZ (Netherlands),2018-08-25,2018,Rehabilitation Technologies,Endocrinology,4,9,6453,True,0.946,0.1919,0.1487,51115.74,100000,92539537.32,High,5.37,9.22,6.49,Restricted,0.664,15,18,False,False
HTA0263,CVZ (Netherlands),2019-12-02,2019,Screening Programs,Immunology,11,11,4863,True,2.082,0.1768,0.0537,62143.07,100000,85244238.04,Moderate,1.32,7.72,8.22,Restricted,0.548,15,4,False,False
HTA0264,CADTH (Canada),2023-02-15,2023,Preventive Interventions,Infectious Disease,10,7,6882,False,-0.098,0.0815,0.2689,27454.35,100000,37926983.72,Moderate,7.26,9.5,9.96,Recommended,0.89,15,12,False,False
HTA0265,NICE (UK),2022-07-27,2022,Immunotherapy,Gastroenterology,16,13,8546,True,1.196,0.015,0.0621,69644.7,50000,81848869.08,Low,1.78,5.85,9.22,Restricted,0.616,5,4,True,False
HTA0266,HAS (France),2022-10-14,2022,Immunotherapy,Immunology,11,9,8713,True,0.497,0.1782,0.3179,139763.51,100000,21275438.5,Low,7.65,1.57,4.49,Conditional,0.413,14,3,True,False
HTA0267,NCPE (Ireland),2024-12-02,2024,Surgical Procedures,Hematology,4,4,672,False,0.241,0.1402,0.2788,44728.37,100000,59712562.81,Moderate,2.2,3.18,3.63,Conditional,0.67,22,4,False,False
HTA0268,NICE (UK),2018-11-27,2018,Immunotherapy,Immunology,24,2,5389,False,-0.483,0.0913,0.3285,16235.03,50000,28949069.59,Low,3.31,9.41,2.18,Conditional,0.619,17,14,True,False
HTA0269,G-BA (Germany),2018-12-26,2018,Medical Devices,Respiratory,16,8,5680,False,-0.043,0.124,0.1851,145172.39,100000,70019459.17,High,8.77,5.33,1.62,Restricted,0.665,6,11,False,False
HTA0270,IQWIG (Germany),2021-07-28,2021,Gene Therapy,Infectious Disease,16,4,7160,True,0.908,0.2159,0.1567,32938.08,100000,13778053.45,Moderate,8.02,5.24,3.05,Restricted,0.55,6,1,True,False
HTA0271,IQWIG (Germany),2018-07-05,2018,Rehabilitation Technologies,Immunology,10,9,1481,True,1.617,0.1352,0.0936,144405.11,100000,63955165.81,Low,1.71,1.42,1.18,Not Recommended,0.0,22,7,False,False
HTA0272,G-BA (Germany),2018-08-01,2018,Surgical Procedures,Cardiology,11,0,3975,True,0.668,0.223,0.3629,53693.37,100000,61891905.65,Very Low,9.66,5.58,5.08,Restricted,0.584,7,17,False,False
HTA0273,TLV (Sweden),2018-03-10,2018,Diagnostic Tests,Oncology,21,2,651,True,0.819,0.1325,0.1406,50886.28,100000,9609735.01,Moderate,9.7,9.5,4.01,Recommended,0.914,11,16,False,False
HTA0274,HAS (France),2024-06-10,2024,Diagnostic Tests,Neurology,10,10,2476,True,0.273,0.118,0.2925,111308.25,100000,99546729.78,Moderate,5.84,5.8,4.65,Restricted,0.551,8,4,False,False
HTA0275,CADTH (Canada),2021-03-24,2021,Screening Programs,Hematology,14,4,5276,False,-0.367,0.2144,0.336,6980.94,100000,89676909.2,High,3.16,1.29,4.02,Not Recommended,0.0,5,18,False,False
HTA0276,CADTH (Canada),2018-01-10,2018,Pharmaceuticals,Infectious Disease,15,10,1950,True,0.046,0.1331,0.3457,16542.74,100000,70988675.53,Low,8.85,3.2,5.05,Restricted,0.778,4,6,False,False
HTA0277,SMC (Scotland),2023-08-19,2023,Preventive Interventions,Hematology,3,1,2536,True,1.57,0.211,0.163,133906.77,100000,16902727.65,Moderate,3.4,2.08,3.07,Not Recommended,0.0,6,14,False,False
HTA0278,NICE (UK),2024-12-10,2024,Immunotherapy,Hematology,5,11,4373,True,1.792,0.1334,0.3228,80762.04,50000,64461460.91,Low,4.65,1.02,8.65,Conditional,0.452,9,1,False,False
HTA0279,SMC (Scotland),2023-02-12,2023,Rehabilitation Technologies,Neurology,15,13,4521,False,-0.04,0.0622,0.0968,143229.54,100000,8193893.17,Moderate,4.13,6.58,5.9,Restricted,0.538,9,16,False,False
HTA0280,G-BA (Germany),2018-11-13,2018,Digital Health,Immunology,19,4,3657,False,0.455,0.202,0.1346,14865.41,100000,32373509.63,Moderate,5.55,8.0,8.72,Restricted,0.753,8,16,False,False
HTA0281,NICE (UK),2018-02-25,2018,Diagnostic Tests,Oncology,13,3,8357,True,1.58,0.1939,0.1564,122685.92,50000,30097759.29,Moderate,7.54,7.24,9.89,Recommended,0.845,23,12,False,False
HTA0282,NCPE (Ireland),2018-08-22,2018,Rehabilitation Technologies,Oncology,16,12,5766,True,0.501,0.149,0.3612,87549.22,100000,63540519.41,Moderate,1.46,3.1,5.43,Conditional,0.424,11,19,False,False
HTA0283,HAS (France),2024-01-13,2024,Preventive Interventions,Respiratory,11,5,8160,True,1.363,0.0824,0.3649,96119.01,100000,44426252.83,High,5.5,7.88,3.39,Restricted,0.742,7,6,True,False
HTA0284,SMC (Scotland),2023-03-10,2023,Digital Health,Infectious Disease,15,9,2835,False,-0.28,0.0348,0.2548,75838.66,100000,52895430.84,Low,3.4,9.2,4.92,Restricted,0.539,22,12,False,False
HTA0285,IQWIG (Germany),2020-06-05,2020,Rehabilitation Technologies,Infectious Disease,23,11,6981,False,-0.046,0.1317,0.2503,140190.48,100000,85962472.31,Moderate,4.93,5.18,8.1,Restricted,0.681,13,0,True,False
HTA0286,NICE (UK),2024-06-14,2024,Digital Health,Respiratory,2,10,4142,False,0.379,0.1334,0.2387,41988.55,50000,77019760.0,Low,6.3,2.91,1.87,Conditional,0.326,12,4,True,False
HTA0287,HAS (France),2019-12-04,2019,Gene Therapy,Immunology,22,4,148,True,2.242,0.2455,0.2816,123449.09,100000,75205010.86,Low,3.76,1.51,4.09,Conditional,0.567,18,0,False,False
HTA0288,G-BA (Germany),2024-11-21,2024,Surgical Procedures,Gastroenterology,2,5,3849,True,1.218,0.0429,0.3782,56029.82,100000,45168776.39,Low,4.01,3.29,6.68,Conditional,0.31,22,7,True,False
HTA0289,HAS (France),2024-10-10,2024,Preventive Interventions,Hematology,22,3,7632,True,-0.329,0.1511,0.3441,7537.24,100000,5851459.85,Low,8.38,3.94,4.15,Restricted,0.679,15,18,False,False
HTA0290,NCPE (Ireland),2019-07-10,2019,Immunotherapy,Infectious Disease,4,8,382,False,-0.194,0.1922,0.2669,16224.68,100000,51770700.88,Moderate,3.96,6.42,3.9,Conditional,0.611,20,1,False,False
HTA0291,PBAC (Australia),2021-01-01,2021,Surgical Procedures,Respiratory,17,10,6116,True,2.362,0.0604,0.3261,117312.95,100000,22555161.07,Low,1.43,5.35,1.13,Not Recommended,0.0,12,2,False,True
HTA0292,CADTH (Canada),2020-06-15,2020,Screening Programs,Oncology,16,14,4165,True,1.764,0.0843,0.2068,63793.39,100000,98424856.93,Moderate,3.65,4.19,6.08,Conditional,0.401,5,11,False,False
HTA0293,CVZ (Netherlands),2024-02-09,2024,Pharmaceuticals,Infectious Disease,7,3,8967,True,1.063,0.1226,0.0749,123654.63,100000,34232557.66,Low,5.63,5.62,1.97,Conditional,0.469,13,12,False,False
HTA0294,PBAC (Australia),2021-04-20,2021,Surgical Procedures,Endocrinology,21,1,1587,False,0.037,0.1725,0.2889,96166.43,100000,27344035.49,High,5.1,9.02,6.13,Restricted,0.75,16,16,False,False
HTA0295,CADTH (Canada),2019-07-26,2019,Pharmaceuticals,Neurology,15,2,1637,True,1.842,0.2284,0.184,96442.12,100000,43584130.48,Moderate,3.79,7.86,9.43,Restricted,0.782,19,4,True,False
HTA0296,TLV (Sweden),2021-04-18,2021,Pharmaceuticals,Oncology,9,13,9344,True,1.663,0.0717,0.3018,9077.62,100000,38156813.23,Low,2.31,8.41,3.12,Conditional,0.561,21,17,True,False
HTA0297,SMC (Scotland),2019-04-26,2019,Rehabilitation Technologies,Cardiology,16,8,7241,True,0.741,0.1729,0.1329,17174.57,100000,77232101.62,Low,9.9,4.1,1.56,Restricted,0.72,5,17,False,False
HTA0298,G-BA (Germany),2022-09-26,2022,Rehabilitation Technologies,Hematology,2,13,4775,True,-0.0,0.2467,0.3373,45814.21,100000,7936800.88,High,2.08,6.23,9.36,Restricted,0.649,16,4,False,False
HTA0299,CVZ (Netherlands),2019-05-07,2019,Screening Programs,Hematology,6,5,7834,True,-0.397,0.1624,0.3506,54991.62,100000,39639259.17,Low,8.32,7.43,3.24,Restricted,0.773,20,3,False,False
HTA0300,SMC (Scotland),2020-12-08,2020,Digital Health,Cardiology,2,8,3026,False,0.352,0.2173,0.1924,115542.38,100000,15243739.38,High,1.18,6.28,5.1,Conditional,0.507,12,6,True,False
HTA0301,NICE (UK),2020-01-15,2020,Diagnostic Tests,Infectious Disease,16,6,4035,True,0.21,0.1607,0.3405,65266.03,50000,26571742.48,Low,7.02,5.03,5.39,Restricted,0.561,18,12,True,False
HTA0302,CVZ (Netherlands),2023-02-17,2023,Pharmaceuticals,Oncology,6,13,777,True,1.282,0.1826,0.2666,16843.57,100000,22554764.98,Moderate,8.49,5.17,5.38,Restricted,0.78,16,18,False,False
HTA0303,IQWIG (Germany),2018-05-09,2018,Screening Programs,Cardiology,10,4,3866,True,-0.006,0.1075,0.3743,108011.16,100000,42473438.85,Moderate,1.76,9.86,7.0,Restricted,0.586,19,18,False,False
HTA0304,IQWIG (Germany),2021-05-03,2021,Preventive Interventions,Endocrinology,11,8,6849,True,2.419,0.0112,0.1944,19566.34,100000,51406638.59,High,4.66,2.99,5.8,Conditional,0.698,16,2,True,False
HTA0305,CVZ (Netherlands),2018-03-02,2018,Preventive Interventions,Immunology,24,6,2006,True,2.441,0.166,0.3097,9569.39,100000,13038920.68,Low,9.09,6.61,2.21,Restricted,0.535,12,5,True,False
HTA0306,CADTH (Canada),2019-04-03,2019,Pharmaceuticals,Gastroenterology,12,6,5935,True,1.126,0.2424,0.1017,141427.06,100000,19106412.25,Low,4.39,9.68,3.46,Restricted,0.62,21,10,False,False
HTA0307,HAS (France),2020-03-02,2020,Screening Programs,Hematology,7,4,9704,False,0.403,0.1813,0.3364,101763.12,100000,13432628.17,Low,2.89,3.91,8.37,Restricted,0.661,7,12,False,False
HTA0308,TLV (Sweden),2020-12-05,2020,Preventive Interventions,Neurology,2,5,9520,True,-0.142,0.1594,0.377,34947.49,100000,73767588.76,Low,5.69,7.02,8.34,Restricted,0.578,15,12,False,False
HTA0309,TLV (Sweden),2019-07-18,2019,Screening Programs,Hematology,13,11,7235,False,-0.266,0.1634,0.1325,108480.74,100000,87494125.42,High,8.8,6.34,2.14,Restricted,0.628,20,13,True,False
HTA0310,NICE (UK),2018-07-25,2018,Preventive Interventions,Infectious Disease,11,0,2333,True,0.683,0.2136,0.2225,73425.86,50000,49540936.45,Low,8.49,4.63,4.0,Restricted,0.648,19,18,False,False
HTA0311,G-BA (Germany),2019-04-25,2019,Screening Programs,Infectious Disease,4,9,4539,False,-0.195,0.0505,0.2112,49527.72,100000,4480765.78,Moderate,5.9,5.97,4.21,Restricted,0.634,20,10,False,False
HTA0312,NICE (UK),2020-04-25,2020,Preventive Interventions,Rheumatology,2,8,4632,True,0.757,0.1962,0.1686,86741.88,50000,21292944.05,Low,1.47,8.67,2.78,Conditional,0.65,16,9,False,False
HTA0313,NCPE (Ireland),2022-06-27,2022,Surgical Procedures,Immunology,20,1,4049,True,1.607,0.1681,0.3962,43431.86,100000,67533890.76,High,2.02,1.04,10.0,Conditional,0.621,18,6,True,False
HTA0314,IQWIG (Germany),2022-02-11,2022,Diagnostic Tests,Infectious Disease,12,1,4279,True,0.731,0.234,0.2731,121264.76,100000,47171084.86,Moderate,1.98,8.88,8.05,Restricted,0.55,20,13,False,False
HTA0315,G-BA (Germany),2020-12-12,2020,Preventive Interventions,Neurology,3,4,9226,True,0.062,0.0178,0.3102,109882.89,100000,14469567.21,Low,2.39,3.71,3.24,Conditional,0.449,6,13,False,False
HTA0316,TLV (Sweden),2022-05-26,2022,Diagnostic Tests,Neurology,18,0,7211,True,-0.336,0.2107,0.2292,81416.11,100000,56597856.26,Moderate,2.78,3.87,6.34,Conditional,0.384,9,13,False,False
HTA0317,NICE (UK),2023-11-18,2023,Gene Therapy,Neurology,24,4,4059,True,1.848,0.235,0.2922,27598.47,50000,25100819.06,Low,2.88,1.65,7.33,Conditional,0.461,4,10,True,False
HTA0318,G-BA (Germany),2021-11-18,2021,Surgical Procedures,Immunology,14,1,3903,True,0.99,0.0396,0.1903,55852.92,100000,77511168.26,Low,2.38,4.3,4.36,Conditional,0.361,4,6,True,False
HTA0319,IQWIG (Germany),2019-06-04,2019,Immunotherapy,Infectious Disease,10,1,1487,True,1.236,0.2287,0.2439,30302.28,100000,38491632.2,Low,6.8,6.86,8.8,Restricted,0.768,9,13,False,False
HTA0320,G-BA (Germany),2020-02-09,2020,Rehabilitation Technologies,Hematology,16,12,333,True,-0.226,0.1436,0.3622,46638.89,100000,33446975.36,High,4.5,1.33,9.26,Restricted,0.702,16,0,True,False
HTA0321,G-BA (Germany),2022-09-18,2022,Gene Therapy,Neurology,11,1,3945,True,0.409,0.1632,0.1725,139614.02,100000,7496982.73,Moderate,6.32,6.87,3.3,Restricted,0.609,17,5,False,False
HTA0322,NCPE (Ireland),2020-04-01,2020,Diagnostic Tests,Oncology,8,4,7877,True,1.734,0.2415,0.3013,148930.7,100000,70135459.16,Moderate,7.05,7.32,4.35,Restricted,0.505,18,7,False,False
HTA0323,G-BA (Germany),2023-05-27,2023,Pharmaceuticals,Rheumatology,8,1,7346,False,-0.138,0.1358,0.2848,44068.72,100000,28474757.69,Very Low,7.51,6.19,6.83,Restricted,0.509,21,12,True,False
HTA0324,TLV (Sweden),2018-01-09,2018,Screening Programs,Immunology,3,10,3183,False,-0.263,0.2449,0.1852,43752.51,100000,42729607.07,High,2.13,4.73,7.86,Conditional,0.66,14,2,True,False
HTA0325,SMC (Scotland),2021-07-22,2021,Immunotherapy,Endocrinology,11,7,3741,False,-0.493,0.1344,0.0631,87538.38,100000,92156314.11,Very Low,5.86,5.12,9.51,Restricted,0.702,6,11,False,False
HTA0326,HAS (France),2021-10-12,2021,Screening Programs,Oncology,5,8,8003,False,-0.291,0.0195,0.3095,125003.49,100000,96818592.03,Low,6.4,5.77,1.25,Conditional,0.399,9,6,True,False
HTA0327,G-BA (Germany),2024-02-22,2024,Immunotherapy,Infectious Disease,8,0,1175,False,0.193,0.2478,0.1473,77237.45,100000,33623510.96,Moderate,8.71,7.16,8.94,Recommended,0.841,22,15,False,False
HTA0328,NICE (UK),2023-06-21,2023,Diagnostic Tests,Gastroenterology,9,3,9917,True,0.116,0.0555,0.094,50096.02,50000,88706289.33,Low,7.62,8.18,3.42,Restricted,0.766,22,2,False,False
HTA0329,NCPE (Ireland),2023-05-18,2023,Gene Therapy,Hematology,16,7,4028,True,1.272,0.1831,0.3794,132837.13,100000,52004030.39,Low,6.06,5.97,2.03,Conditional,0.35,18,13,True,False
HTA0330,NCPE (Ireland),2023-07-05,2023,Surgical Procedures,Neurology,18,1,2009,True,-0.309,0.1424,0.3444,149543.15,100000,43603974.2,Moderate,9.16,2.72,6.54,Restricted,0.622,8,19,False,False
HTA0331,NICE (UK),2021-02-13,2021,Rehabilitation Technologies,Neurology,12,10,4638,True,2.34,0.1843,0.1269,70117.09,50000,79848725.18,Moderate,6.85,7.78,6.6,Restricted,0.662,14,7,True,False
HTA0332,HAS (France),2020-06-16,2020,Digital Health,Neurology,8,1,2839,True,0.773,0.1815,0.2613,48344.29,100000,41670823.16,Moderate,9.69,2.18,4.35,Restricted,0.508,12,16,True,False
HTA0333,IQWIG (Germany),2019-08-11,2019,Pharmaceuticals,Respiratory,9,11,8326,False,0.271,0.2296,0.3491,104060.46,100000,6180952.87,Low,8.61,8.19,5.58,Restricted,0.57,15,1,False,False
HTA0334,TLV (Sweden),2021-11-02,2021,Medical Devices,Respiratory,16,6,7856,False,0.23,0.1865,0.078,57122.37,100000,85978571.27,Moderate,2.04,3.93,2.98,Not Recommended,0.0,9,18,False,False
HTA0335,IQWIG (Germany),2021-10-06,2021,Medical Devices,Neurology,17,8,4360,True,1.057,0.245,0.2937,102436.54,100000,24827477.38,Low,7.75,3.86,5.35,Restricted,0.588,5,17,False,False
HTA0336,NICE (UK),2022-10-21,2022,Immunotherapy,Endocrinology,17,5,9824,True,1.231,0.0472,0.1747,106066.89,50000,56451482.32,Moderate,4.78,6.06,1.05,Conditional,0.331,6,16,False,False
HTA0337,NCPE (Ireland),2020-09-19,2020,Surgical Procedures,Gastroenterology,1,1,1202,False,0.002,0.115,0.1689,109257.82,100000,29411693.15,Moderate,4.21,2.59,7.26,Conditional,0.546,19,2,False,False
HTA0338,NICE (UK),2022-09-23,2022,Screening Programs,Oncology,20,10,3868,True,-0.15,0.041,0.2379,140802.68,50000,31526860.05,Low,7.88,3.23,1.33,Conditional,0.341,11,14,True,False
HTA0339,G-BA (Germany),2022-06-22,2022,Screening Programs,Rheumatology,3,9,3364,False,-0.328,0.2039,0.2925,85601.27,100000,70253259.17,Moderate,2.25,6.99,5.72,Conditional,0.556,11,8,False,False
HTA0340,HAS (France),2020-06-03,2020,Gene Therapy,Neurology,24,14,5422,True,2.196,0.2251,0.29,129552.18,100000,9788553.43,Low,3.89,2.6,3.15,Conditional,0.467,9,5,False,False
HTA0341,PBAC (Australia),2018-03-02,2018,Pharmaceuticals,Cardiology,21,3,7840,False,0.257,0.0897,0.3106,27037.13,100000,13901480.82,Moderate,8.27,3.22,1.57,Conditional,0.353,15,15,True,False
HTA0342,NCPE (Ireland),2019-06-14,2019,Gene Therapy,Immunology,1,0,1046,True,1.051,0.1371,0.1903,48122.03,100000,68490760.19,Moderate,8.19,8.23,4.74,Restricted,0.585,12,18,False,False
HTA0343,CVZ (Netherlands),2018-08-07,2018,Rehabilitation Technologies,Cardiology,7,3,2238,True,0.878,0.2063,0.3755,84037.09,100000,66485154.33,Very Low,1.89,3.09,7.38,Conditional,0.629,13,6,False,False
HTA0344,G-BA (Germany),2018-03-05,2018,Immunotherapy,Infectious Disease,7,2,3296,True,-0.231,0.091,0.0814,144423.84,100000,80918903.28,Moderate,3.01,9.4,4.1,Restricted,0.548,6,12,True,False
HTA0345,HAS (France),2018-10-19,2018,Screening Programs,Cardiology,9,11,7814,False,-0.023,0.2487,0.2877,15740.86,100000,99290381.04,Moderate,3.59,6.02,3.74,Conditional,0.335,14,8,False,False
HTA0346,HAS (France),2018-03-28,2018,Preventive Interventions,Oncology,6,4,4364,True,1.179,0.1348,0.2638,43323.46,100000,29436893.45,Moderate,8.26,1.45,6.43,Restricted,0.742,8,9,False,False
HTA0347,HAS (France),2024-02-01,2024,Rehabilitation Technologies,Immunology,7,4,7332,True,0.323,0.106,0.3224,141476.13,100000,86326152.78,Low,4.69,4.0,2.12,Conditional,0.343,7,15,False,False
HTA0348,IQWIG (Germany),2019-11-28,2019,Pharmaceuticals,Oncology,10,2,6560,True,1.899,0.1875,0.1992,53387.11,100000,32330409.62,Low,1.47,1.12,8.16,Conditional,0.491,7,0,False,False
HTA0349,SMC (Scotland),2020-09-22,2020,Rehabilitation Technologies,Hematology,23,11,901,False,0.466,0.0617,0.3339,33600.19,100000,22140210.31,Low,4.65,9.38,1.8,Restricted,0.653,10,9,True,False
HTA0350,HAS (France),2020-11-21,2020,Diagnostic Tests,Rheumatology,11,3,888,True,1.658,0.1889,0.2301,52993.83,100000,83907638.59,Moderate,5.57,4.61,8.7,Restricted,0.63,9,16,True,False
HTA0351,G-BA (Germany),2024-11-16,2024,Pharmaceuticals,Rheumatology,8,10,5347,True,0.178,0.2195,0.3351,38918.81,100000,20862576.92,Low,3.83,3.76,2.37,Conditional,0.406,11,12,True,False
HTA0352,SMC (Scotland),2020-09-16,2020,Medical Devices,Gastroenterology,2,5,3267,True,1.613,0.0171,0.0534,15892.82,100000,54030346.11,Low,1.04,9.43,1.96,Conditional,0.637,5,1,True,False
HTA0353,TLV (Sweden),2021-02-17,2021,Diagnostic Tests,Cardiology,22,14,3275,True,0.46,0.1112,0.1304,33937.88,100000,4740666.15,Low,3.36,1.47,3.08,Not Recommended,0.0,19,13,False,True
HTA0354,PBAC (Australia),2020-05-15,2020,Digital Health,Endocrinology,14,10,9239,True,2.233,0.1577,0.1942,140489.57,100000,5797959.02,Moderate,6.09,6.54,1.36,Conditional,0.461,14,8,True,False
HTA0355,CVZ (Netherlands),2022-07-28,2022,Gene Therapy,Immunology,19,7,7124,True,0.452,0.1939,0.2243,49954.93,100000,81384806.5,Low,7.06,1.42,6.1,Conditional,0.605,15,14,False,False
HTA0356,HAS (France),2021-03-12,2021,Pharmaceuticals,Gastroenterology,20,13,7731,True,0.378,0.1,0.2281,51261.37,100000,96927818.35,Very Low,8.84,4.8,7.22,Restricted,0.771,15,14,False,False
HTA0357,CADTH (Canada),2023-08-25,2023,Rehabilitation Technologies,Rheumatology,22,11,1710,True,0.637,0.0949,0.0964,102480.98,100000,51360502.13,Low,4.17,3.93,5.25,Conditional,0.651,10,15,False,False
HTA0358,CADTH (Canada),2020-06-22,2020,Pharmaceuticals,Rheumatology,14,3,8629,False,-0.154,0.1592,0.0636,32082.02,100000,83293334.7,Low,4.16,4.39,5.8,Conditional,0.3,14,19,False,False
HTA0359,TLV (Sweden),2024-10-02,2024,Rehabilitation Technologies,Hematology,23,6,2910,False,-0.259,0.0288,0.1747,113409.51,100000,55518363.92,Low,9.64,8.13,6.43,Recommended,0.899,13,11,False,False
HTA0360,CADTH (Canada),2021-03-09,2021,Pharmaceuticals,Gastroenterology,10,3,4343,True,0.863,0.2172,0.3709,149537.12,100000,16214729.44,Low,3.39,6.32,5.55,Restricted,0.505,20,2,True,False
HTA0361,NICE (UK),2018-11-08,2018,Pharmaceuticals,Oncology,5,4,8908,False,-0.016,0.1277,0.0919,121385.16,50000,25449575.83,Low,9.2,9.49,5.68,Recommended,0.935,16,14,False,False
HTA0362,IQWIG (Germany),2019-02-27,2019,Diagnostic Tests,Gastroenterology,10,2,596,True,-0.442,0.2435,0.1275,121813.2,100000,6769254.85,Very Low,8.87,6.14,1.08,Restricted,0.577,22,14,False,False
HTA0363,HAS (France),2022-08-11,2022,Diagnostic Tests,Gastroenterology,22,14,2925,True,-0.227,0.2316,0.2912,23429.88,100000,36315593.76,Low,8.52,1.39,3.13,Conditional,0.656,10,11,False,False
HTA0364,IQWIG (Germany),2021-07-26,2021,Rehabilitation Technologies,Rheumatology,9,9,7789,False,-0.084,0.1829,0.3714,64165.87,100000,19936459.73,Moderate,9.17,8.24,1.59,Restricted,0.708,15,7,True,False
HTA0365,NCPE (Ireland),2019-01-16,2019,Diagnostic Tests,Immunology,22,0,7841,True,1.757,0.2288,0.2439,81436.36,100000,76632356.44,High,9.26,2.78,9.86,Restricted,0.721,5,2,False,False
