cea_id,author,year,journal,pmid,intervention,comparator,disease_indication,country,currency,perspective,time_horizon_years,discount_rate_costs,discount_rate_effects,cost_intervention,cost_comparator,incremental_cost,qaly_intervention,qaly_comparator,incremental_qaly,icer_per_qaly,wtp_threshold,cost_effective,probability_cost_effective,sensitivity_analysis_robust,budget_impact_year1_millions,budget_impact_year5_millions,therapeutic_area,model_type,data_source
CEA106,Author 106,2023,,,Intervention 106,Best supportive care,Heart failure,France,GBP,NHS,10,0.042,0.038,70625,97230,-26605,5.84,6.13,-0.29,999999,150000,No,0.4,No,151,404,Pulmonology,Markov,Clinical trial
CEA107,Author 107,2022,,,Intervention 107,Alternative treatment,Depression,Netherlands,EUR,Healthcare payer,10,0.038,0.032,197965,77610,120355,7.09,3.95,3.14,38329,100000,Yes,0.69,Yes,425,111,Infectious disease,Discrete event simulation,Clinical trial
CEA108,Author 108,2018,,,Intervention 108,Standard care,Type 2 diabetes,Germany,EUR,NHS,Lifetime,0.048,0.034,197646,15118,182528,7.83,5.13,2.7,67602,30000,No,0.26,No,275,1874,Gastroenterology,Discrete event simulation,Clinical trial
CEA109,Author 109,2021,,,Intervention 109,Best supportive care,Heart failure,Germany,CAD,NHS,Lifetime,0.045,0.044,41953,16048,25905,3.46,3.41,0.05,518100,50000,No,0.26,Yes,451,112,Rheumatology,Markov,Clinical trial
CEA110,Author 110,2018,,,Intervention 110,Alternative treatment,Rheumatoid arthritis,France,USD,Healthcare payer,20,0.036,0.043,214672,27308,187364,7.02,5.93,1.09,171893,30000,No,0.2,Yes,335,364,Cardiology,Markov,Real-world data
CEA111,Author 111,2023,,,Intervention 111,Best supportive care,Depression,Australia,AUD,Societal,15,0.038,0.045,64922,55867,9055,5.93,2.75,3.18,2847,30000,Yes,0.82,No,411,1372,Gastroenterology,Partitioned survival,Clinical trial
CEA112,Author 112,2021,,,Intervention 112,Best supportive care,Advanced cancer,USA,CAD,Healthcare payer,20,0.049,0.039,181125,50660,130465,8.07,3.04,5.03,25937,30000,Yes,0.74,No,93,491,Infectious disease,Partitioned survival,Registry
CEA113,Author 113,2021,,,Intervention 113,Best supportive care,Advanced cancer,USA,GBP,Healthcare payer,10,0.049,0.048,62473,89666,-27193,4.49,4.92,-0.43,999999,100000,No,0.42,No,497,494,Dermatology,Discrete event simulation,Clinical trial + registry
CEA114,Author 114,2019,,,Intervention 114,Alternative treatment,Type 2 diabetes,Canada,USD,Healthcare payer,15,0.041,0.05,89909,31699,58210,8.46,1.89,6.57,8859,30000,Yes,0.69,No,325,1158,Hematology,Decision tree,Real-world data
CEA115,Author 115,2023,,,Intervention 115,Best supportive care,Asthma,Canada,CAD,Healthcare system,Lifetime,0.031,0.032,203417,79919,123498,5.5,5.53,-0.03,999999,100000,No,0.22,No,348,125,Cardiology,Partitioned survival,Registry
CEA116,Author 116,2018,,,Intervention 116,Alternative treatment,Advanced cancer,USA,USD,NHS,10,0.034,0.033,86105,105606,-19501,4.31,4.46,-0.15,999999,100000,No,0.34,Yes,397,1240,Pulmonology,Partitioned survival,Clinical trial + registry
CEA117,Author 117,2018,,,Intervention 117,Alternative treatment,Heart failure,USA,USD,NHS,5,0.045,0.038,131189,115635,15554,3.7,1.95,1.75,8888,30000,Yes,0.86,No,167,1517,Dermatology,Partitioned survival,Registry
CEA118,Author 118,2020,,,Intervention 118,Alternative treatment,COPD,Netherlands,EUR,NHS,10,0.034,0.046,113980,18684,95296,3.53,2.93,0.6,158826,50000,No,0.35,Yes,445,1323,Pulmonology,Partitioned survival,Registry
CEA119,Author 119,2022,,,Intervention 119,Best supportive care,Type 2 diabetes,Australia,USD,Healthcare payer,20,0.049,0.044,172437,91949,80488,5.14,5.84,-0.7,999999,30000,No,0.44,Yes,116,1295,Oncology,Discrete event simulation,Registry
CEA120,Author 120,2022,,,Intervention 120,Alternative treatment,COPD,France,CAD,Healthcare payer,Lifetime,0.049,0.034,130396,84616,45780,3.01,2.51,0.5,91560,30000,No,0.36,No,120,873,Gastroenterology,Markov,Real-world data
CEA121,Author 121,2024,,,Intervention 121,Standard care,Type 2 diabetes,Canada,GBP,Healthcare system,Lifetime,0.045,0.04,96615,69881,26734,7.81,6.28,1.53,17473,100000,Yes,0.6,No,344,1956,Infectious disease,Decision tree,Clinical trial + registry
CEA122,Author 122,2022,,,Intervention 122,Best supportive care,COPD,France,USD,Societal,Lifetime,0.049,0.04,216365,29499,186866,7.6,3.59,4.01,46600,50000,Yes,0.81,Yes,120,1661,Pulmonology,Decision tree,Real-world data
CEA123,Author 123,2020,,,Intervention 123,Alternative treatment,Heart failure,Germany,EUR,NHS,Lifetime,0.039,0.049,81043,48489,32554,5.8,4.52,1.28,25432,30000,Yes,0.9,Yes,387,1089,Dermatology,Decision tree,Real-world data
CEA124,Author 124,2024,,,Intervention 124,Alternative treatment,Advanced cancer,Netherlands,GBP,NHS,20,0.037,0.041,41058,106123,-65065,8.27,2.54,5.73,-11355,30000,Yes,0.76,No,417,1694,Cardiology,Markov,Clinical trial + registry
CEA125,Author 125,2023,,,Intervention 125,Alternative treatment,Advanced cancer,Netherlands,USD,Healthcare system,10,0.034,0.04,55220,43567,11653,4.25,3.03,1.22,9551,150000,Yes,0.58,No,176,1636,Dermatology,Discrete event simulation,Registry
CEA126,Author 126,2021,,,Intervention 126,Standard care,Asthma,Netherlands,EUR,Societal,5,0.034,0.036,48239,15348,32891,5.79,2.53,3.26,10089,30000,Yes,0.58,Yes,292,589,Endocrinology,Markov,Real-world data
CEA127,Author 127,2019,,,Intervention 127,Standard care,Depression,Netherlands,GBP,Healthcare payer,10,0.043,0.05,160748,36436,124312,7.7,3.03,4.67,26619,100000,Yes,0.65,Yes,46,342,Infectious disease,Markov,Clinical trial + registry
CEA128,Author 128,2021,,,Intervention 128,Standard care,Asthma,France,CAD,NHS,15,0.034,0.047,48370,117911,-69541,5.07,4.12,0.95,-73201,30000,Yes,0.66,No,321,196,Endocrinology,Markov,Clinical trial
CEA129,Author 129,2021,,,Intervention 129,Alternative treatment,Advanced cancer,UK,CAD,Healthcare payer,15,0.038,0.03,222966,97386,125580,7.35,5.83,1.52,82618,50000,No,0.17,Yes,64,772,Dermatology,Discrete event simulation,Registry
CEA130,Author 130,2024,,,Intervention 130,Best supportive care,COPD,USA,GBP,Societal,5,0.033,0.048,160979,69971,91008,5.61,6.18,-0.57,999999,30000,No,0.19,No,211,1340,Endocrinology,Decision tree,Clinical trial + registry
CEA131,Author 131,2019,,,Intervention 131,Standard care,Asthma,UK,CAD,Healthcare system,10,0.046,0.04,244763,26425,218338,6.1,4.26,1.84,118661,30000,No,0.29,No,277,1582,Rheumatology,Discrete event simulation,Clinical trial
CEA132,Author 132,2020,,,Intervention 132,Alternative treatment,Asthma,Canada,CAD,Healthcare payer,15,0.045,0.04,33954,99205,-65251,4.66,5.31,-0.65,999999,150000,No,0.44,Yes,83,1644,Pulmonology,Discrete event simulation,Real-world data
CEA133,Author 133,2020,,,Intervention 133,Standard care,Advanced cancer,Canada,USD,Healthcare payer,Lifetime,0.035,0.033,143987,104606,39381,3.99,4.34,-0.35,999999,30000,No,0.45,No,112,981,Dermatology,Partitioned survival,Clinical trial + registry
CEA134,Author 134,2022,,,Intervention 134,Best supportive care,COPD,Canada,AUD,Societal,Lifetime,0.042,0.041,215808,16353,199455,7.66,3.34,4.32,46170,100000,Yes,0.92,No,113,1832,Rheumatology,Partitioned survival,Real-world data
CEA135,Author 135,2021,,,Intervention 135,Alternative treatment,Type 2 diabetes,Canada,AUD,Healthcare payer,20,0.049,0.032,175263,31601,143662,4.95,5.01,-0.06,999999,50000,No,0.17,Yes,488,1326,Infectious disease,Markov,Clinical trial
CEA136,Author 136,2021,,,Intervention 136,Alternative treatment,COPD,USA,GBP,Healthcare payer,20,0.043,0.041,194161,97051,97110,3.7,3.24,0.46,211108,50000,No,0.36,No,86,138,Oncology,Discrete event simulation,Clinical trial + registry
CEA137,Author 137,2019,,,Intervention 137,Alternative treatment,Advanced cancer,Netherlands,USD,NHS,Lifetime,0.038,0.042,81842,34535,47307,5.54,3.17,2.37,19960,100000,Yes,0.62,Yes,476,406,Neurology,Decision tree,Registry
CEA138,Author 138,2019,,,Intervention 138,Best supportive care,Rheumatoid arthritis,Canada,USD,Healthcare system,10,0.04,0.046,171791,82898,88893,3.51,2.74,0.77,115445,150000,Yes,0.71,No,245,1029,Hematology,Markov,Real-world data
CEA139,Author 139,2024,,,Intervention 139,Standard care,Depression,Germany,GBP,Healthcare system,Lifetime,0.036,0.046,100182,57582,42600,2.83,6.01,-3.18,999999,150000,No,0.18,Yes,239,376,Endocrinology,Markov,Clinical trial + registry
CEA140,Author 140,2022,,,Intervention 140,Alternative treatment,Rheumatoid arthritis,USA,AUD,Healthcare system,15,0.031,0.034,91803,103643,-11840,5.32,2.34,2.98,-3973,50000,Yes,0.94,Yes,413,1365,Oncology,Discrete event simulation,Clinical trial + registry
CEA141,Author 141,2023,,,Intervention 141,Alternative treatment,Depression,France,GBP,Healthcare payer,Lifetime,0.039,0.036,151106,63254,87852,5.08,2.15,2.93,29983,150000,Yes,0.6,No,21,1313,Cardiology,Discrete event simulation,Clinical trial
CEA142,Author 142,2020,,,Intervention 142,Standard care,COPD,Germany,EUR,Healthcare payer,20,0.036,0.039,75781,111911,-36130,5.69,5.1,0.59,-61237,50000,Yes,0.85,Yes,242,1082,Oncology,Decision tree,Registry
CEA143,Author 143,2021,,,Intervention 143,Alternative treatment,Heart failure,UK,EUR,Healthcare payer,15,0.03,0.04,149113,105806,43307,4.08,5.11,-1.03,999999,30000,No,0.31,Yes,45,507,Dermatology,Partitioned survival,Real-world data
CEA144,Author 144,2018,,,Intervention 144,Standard care,Depression,France,GBP,Healthcare system,Lifetime,0.047,0.043,128601,27597,101004,5.25,5.49,-0.24,999999,30000,No,0.19,Yes,36,844,Hematology,Markov,Clinical trial + registry
CEA145,Author 145,2021,,,Intervention 145,Standard care,COPD,Germany,EUR,NHS,5,0.048,0.036,123449,15648,107801,3.87,5.26,-1.39,999999,150000,No,0.17,Yes,140,222,Dermatology,Markov,Real-world data
CEA146,Author 146,2021,,,Intervention 146,Standard care,Rheumatoid arthritis,USA,USD,Healthcare system,10,0.035,0.032,80138,97835,-17697,3.34,4.84,-1.5,999999,150000,No,0.44,Yes,96,747,Infectious disease,Decision tree,Real-world data
CEA147,Author 147,2022,,,Intervention 147,Best supportive care,COPD,France,EUR,NHS,20,0.045,0.046,57796,118312,-60516,5.55,3.94,1.61,-37587,150000,Yes,0.89,No,476,1394,Oncology,Partitioned survival,Registry
CEA148,Author 148,2020,,,Intervention 148,Best supportive care,Heart failure,USA,AUD,Societal,10,0.039,0.035,146400,23181,123219,4.14,2.65,1.49,82697,50000,No,0.43,Yes,44,880,Pulmonology,Partitioned survival,Registry
CEA149,Author 149,2022,,,Intervention 149,Best supportive care,Heart failure,UK,CAD,NHS,20,0.036,0.047,55864,62032,-6168,7.98,3.21,4.77,-1293,100000,Yes,0.81,Yes,184,1931,Cardiology,Partitioned survival,Real-world data
CEA150,Author 150,2019,,,Intervention 150,Standard care,Type 2 diabetes,Australia,GBP,Societal,15,0.033,0.033,210174,94741,115433,5.91,1.95,3.96,29149,100000,Yes,0.59,Yes,236,1720,Hematology,Markov,Clinical trial + registry
CEA151,Author 151,2023,,,Intervention 151,Best supportive care,Advanced cancer,UK,USD,Healthcare system,5,0.03,0.044,235739,119200,116539,5.09,3.18,1.91,61015,150000,Yes,0.67,No,398,1347,Cardiology,Markov,Clinical trial
CEA152,Author 152,2021,,,Intervention 152,Standard care,Rheumatoid arthritis,Netherlands,GBP,Healthcare system,20,0.048,0.044,74077,95932,-21855,5.65,6.44,-0.79,999999,150000,No,0.36,Yes,450,1325,Hematology,Discrete event simulation,Registry
CEA153,Author 153,2018,,,Intervention 153,Standard care,Depression,Australia,USD,Healthcare payer,20,0.043,0.047,57441,90861,-33420,8.06,2.28,5.78,-5782,150000,Yes,0.76,Yes,420,1517,Neurology,Markov,Real-world data
CEA154,Author 154,2022,,,Intervention 154,Alternative treatment,Depression,Canada,AUD,Healthcare system,15,0.043,0.039,234952,46793,188159,3.78,5.94,-2.16,999999,50000,No,0.31,Yes,190,655,Endocrinology,Partitioned survival,Clinical trial + registry
CEA155,Author 155,2022,,,Intervention 155,Best supportive care,Heart failure,Australia,AUD,Healthcare system,15,0.048,0.038,134415,20322,114093,5.4,6.33,-0.93,999999,150000,No,0.29,No,432,1076,Cardiology,Decision tree,Registry
CEA156,Author 156,2021,,,Intervention 156,Best supportive care,COPD,France,EUR,NHS,15,0.048,0.039,90376,34947,55429,2.92,3.78,-0.86,999999,50000,No,0.22,Yes,100,108,Gastroenterology,Decision tree,Clinical trial
CEA157,Author 157,2024,,,Intervention 157,Standard care,Asthma,Netherlands,AUD,Healthcare system,15,0.04,0.041,204085,47223,156862,4.47,2.46,2.01,78040,50000,No,0.35,No,352,1612,Rheumatology,Discrete event simulation,Real-world data
CEA158,Author 158,2023,,,Intervention 158,Alternative treatment,Advanced cancer,Australia,USD,Healthcare payer,10,0.048,0.035,221908,15768,206140,3.86,5.2,-1.34,999999,50000,No,0.24,Yes,359,835,Infectious disease,Discrete event simulation,Registry
CEA159,Author 159,2021,,,Intervention 159,Best supportive care,Advanced cancer,Australia,CAD,Healthcare system,15,0.034,0.049,199326,60514,138812,5.47,5.59,-0.12,999999,50000,No,0.25,Yes,407,860,Gastroenterology,Discrete event simulation,Clinical trial + registry
CEA160,Author 160,2019,,,Intervention 160,Standard care,Rheumatoid arthritis,UK,USD,Healthcare payer,10,0.041,0.031,131290,83853,47437,6.7,5.74,0.96,49413,30000,No,0.26,Yes,339,384,Rheumatology,Markov,Clinical trial + registry
CEA161,Author 161,2023,,,Intervention 161,Standard care,Depression,USA,AUD,Healthcare payer,20,0.034,0.041,151643,86494,65149,4.03,4.87,-0.84,999999,50000,No,0.27,Yes,438,1599,Infectious disease,Discrete event simulation,Clinical trial
CEA162,Author 162,2021,,,Intervention 162,Best supportive care,Type 2 diabetes,France,GBP,Healthcare system,10,0.045,0.033,47363,28076,19287,2.7,4.57,-1.87,999999,150000,No,0.42,Yes,228,1458,Neurology,Decision tree,Registry
CEA163,Author 163,2022,,,Intervention 163,Best supportive care,Rheumatoid arthritis,Canada,GBP,Healthcare payer,20,0.033,0.04,150840,72855,77985,5.02,5.66,-0.64,999999,50000,No,0.4,Yes,239,1071,Gastroenterology,Discrete event simulation,Clinical trial
CEA164,Author 164,2020,,,Intervention 164,Standard care,Asthma,France,EUR,Healthcare system,15,0.046,0.048,125854,111258,14596,4.77,2.75,2.02,7225,100000,Yes,0.9,Yes,460,724,Cardiology,Discrete event simulation,Clinical trial
CEA165,Author 165,2021,,,Intervention 165,Best supportive care,Asthma,UK,GBP,Healthcare payer,10,0.04,0.049,197527,93903,103624,2.63,2.3,0.33,314012,100000,No,0.27,No,62,1593,Hematology,Discrete event simulation,Real-world data
CEA166,Author 166,2021,,,Intervention 166,Alternative treatment,COPD,Australia,AUD,Healthcare system,10,0.05,0.039,190733,51619,139114,6.03,5.24,0.79,176093,100000,No,0.28,No,207,580,Dermatology,Markov,Clinical trial + registry
CEA167,Author 167,2018,,,Intervention 167,Alternative treatment,Rheumatoid arthritis,USA,CAD,Healthcare system,15,0.036,0.046,186869,25449,161420,4.04,4.51,-0.47,999999,100000,No,0.35,Yes,330,303,Endocrinology,Partitioned survival,Registry
CEA168,Author 168,2019,,,Intervention 168,Standard care,Heart failure,Germany,GBP,NHS,Lifetime,0.049,0.041,177433,23491,153942,6.3,6.13,0.17,905541,100000,No,0.34,Yes,138,1897,Hematology,Discrete event simulation,Clinical trial + registry
CEA169,Author 169,2024,,,Intervention 169,Standard care,Rheumatoid arthritis,Canada,CAD,Healthcare payer,Lifetime,0.046,0.041,113471,37697,75774,8.22,4.0,4.22,17955,100000,Yes,0.83,No,405,878,Cardiology,Markov,Registry
CEA170,Author 170,2024,,,Intervention 170,Best supportive care,Asthma,Canada,EUR,Healthcare system,20,0.031,0.031,128314,103648,24666,6.25,4.42,1.83,13478,150000,Yes,0.7,Yes,441,968,Pulmonology,Decision tree,Clinical trial
CEA171,Author 171,2022,,,Intervention 171,Standard care,Depression,Germany,GBP,Healthcare system,Lifetime,0.046,0.045,231104,29101,202003,6.54,1.99,4.55,44396,30000,No,0.33,No,330,1254,Infectious disease,Partitioned survival,Real-world data
CEA172,Author 172,2021,,,Intervention 172,Alternative treatment,COPD,USA,GBP,Societal,20,0.031,0.031,122152,106648,15504,3.61,5.99,-2.38,999999,30000,No,0.25,Yes,260,129,Dermatology,Decision tree,Clinical trial + registry
CEA173,Author 173,2022,,,Intervention 173,Best supportive care,Advanced cancer,Canada,GBP,NHS,20,0.032,0.031,148324,92097,56227,7.62,3.69,3.93,14307,30000,Yes,0.9,No,259,1823,Neurology,Markov,Clinical trial + registry
CEA174,Author 174,2018,,,Intervention 174,Alternative treatment,Type 2 diabetes,Germany,GBP,NHS,10,0.037,0.033,222289,117443,104846,5.17,2.45,2.72,38546,50000,Yes,0.74,Yes,258,1331,Gastroenterology,Discrete event simulation,Clinical trial + registry
CEA175,Author 175,2018,,,Intervention 175,Best supportive care,COPD,UK,AUD,NHS,Lifetime,0.036,0.048,147944,115595,32349,7.33,3.26,4.07,7948,30000,Yes,0.91,Yes,146,1767,Pulmonology,Partitioned survival,Registry
CEA176,Author 176,2020,,,Intervention 176,Alternative treatment,COPD,Netherlands,EUR,Societal,5,0.035,0.046,112124,103049,9075,6.14,5.48,0.66,13750,30000,Yes,0.66,No,193,1388,Infectious disease,Discrete event simulation,Clinical trial
CEA177,Author 177,2018,,,Intervention 177,Standard care,Rheumatoid arthritis,UK,AUD,Healthcare system,20,0.037,0.032,197443,18766,178677,6.58,2.42,4.16,42951,50000,Yes,0.9,Yes,226,1000,Gastroenterology,Discrete event simulation,Clinical trial + registry
CEA178,Author 178,2018,,,Intervention 178,Alternative treatment,Type 2 diabetes,USA,AUD,Healthcare system,5,0.041,0.044,174544,106420,68124,4.53,6.36,-1.83,999999,30000,No,0.26,Yes,413,50,Dermatology,Markov,Real-world data
CEA179,Author 179,2020,,,Intervention 179,Alternative treatment,Rheumatoid arthritis,Australia,GBP,NHS,10,0.048,0.035,147034,116238,30796,5.6,3.9,1.7,18115,100000,Yes,0.93,Yes,433,717,Neurology,Decision tree,Clinical trial
CEA180,Author 180,2024,,,Intervention 180,Best supportive care,Advanced cancer,USA,GBP,Societal,20,0.05,0.046,165249,29607,135642,4.39,5.15,-0.76,999999,100000,No,0.17,Yes,32,1699,Rheumatology,Partitioned survival,Real-world data
CEA181,Author 181,2023,,,Intervention 181,Best supportive care,Rheumatoid arthritis,Australia,AUD,NHS,5,0.047,0.048,49560,48338,1222,4.58,5.16,-0.58,999999,30000,No,0.17,Yes,86,286,Dermatology,Discrete event simulation,Clinical trial + registry
CEA182,Author 182,2022,,,Intervention 182,Standard care,Heart failure,France,AUD,NHS,15,0.041,0.048,172149,63403,108746,5.82,4.15,1.67,65117,50000,No,0.23,Yes,331,1495,Dermatology,Partitioned survival,Clinical trial + registry
CEA183,Author 183,2023,,,Intervention 183,Alternative treatment,Depression,Australia,EUR,NHS,15,0.039,0.034,188131,93755,94376,6.97,2.41,4.56,20696,150000,Yes,0.92,Yes,96,429,Infectious disease,Discrete event simulation,Real-world data
CEA184,Author 184,2021,,,Intervention 184,Alternative treatment,Rheumatoid arthritis,Canada,GBP,Healthcare payer,Lifetime,0.031,0.038,105620,93771,11849,3.81,4.35,-0.54,999999,150000,No,0.28,Yes,57,553,Cardiology,Decision tree,Registry
CEA185,Author 185,2024,,,Intervention 185,Standard care,COPD,UK,AUD,Healthcare payer,20,0.046,0.033,86723,16463,70260,8.29,5.35,2.94,23897,100000,Yes,0.62,Yes,126,1419,Cardiology,Markov,Registry
CEA186,Author 186,2020,,,Intervention 186,Standard care,Rheumatoid arthritis,Netherlands,USD,Healthcare payer,20,0.033,0.032,39211,56346,-17135,4.69,4.26,0.43,-39848,30000,Yes,0.57,No,313,796,Oncology,Decision tree,Registry
CEA187,Author 187,2024,,,Intervention 187,Standard care,Rheumatoid arthritis,USA,AUD,Healthcare system,15,0.036,0.045,118459,43275,75184,2.71,5.25,-2.54,999999,30000,No,0.37,Yes,154,285,Neurology,Decision tree,Registry
CEA188,Author 188,2019,,,Intervention 188,Best supportive care,Depression,Australia,AUD,NHS,5,0.034,0.033,129257,24884,104373,4.15,3.64,0.51,204652,50000,No,0.32,Yes,156,387,Cardiology,Markov,Clinical trial
CEA189,Author 189,2022,,,Intervention 189,Best supportive care,Rheumatoid arthritis,Canada,EUR,Societal,Lifetime,0.042,0.045,188924,72998,115926,3.98,4.8,-0.82,999999,30000,No,0.38,Yes,31,303,Infectious disease,Discrete event simulation,Clinical trial
CEA190,Author 190,2024,,,Intervention 190,Alternative treatment,COPD,France,GBP,Societal,10,0.047,0.036,158492,100056,58436,7.04,3.75,3.29,17761,50000,Yes,0.93,Yes,366,628,Infectious disease,Decision tree,Registry
CEA191,Author 191,2019,,,Intervention 191,Standard care,Heart failure,UK,EUR,NHS,10,0.032,0.031,65888,42596,23292,6.33,3.33,3.0,7764,50000,Yes,0.75,Yes,111,1114,Gastroenterology,Decision tree,Registry
CEA192,Author 192,2021,,,Intervention 192,Alternative treatment,COPD,UK,AUD,Healthcare system,15,0.048,0.036,92869,115860,-22991,6.83,4.24,2.59,-8876,30000,Yes,0.65,Yes,13,1757,Infectious disease,Decision tree,Registry
CEA193,Author 193,2018,,,Intervention 193,Alternative treatment,Heart failure,USA,USD,NHS,10,0.046,0.042,194558,102931,91627,5.99,5.93,0.06,1527116,50000,No,0.43,Yes,17,455,Gastroenterology,Decision tree,Registry
CEA194,Author 194,2021,,,Intervention 194,Alternative treatment,Depression,Canada,AUD,NHS,5,0.038,0.041,77620,32163,45457,2.72,3.13,-0.41,999999,50000,No,0.41,Yes,418,705,Gastroenterology,Markov,Clinical trial
CEA195,Author 195,2020,,,Intervention 195,Best supportive care,Rheumatoid arthritis,Netherlands,USD,Healthcare system,10,0.041,0.043,197674,32113,165561,5.12,3.52,1.6,103475,30000,No,0.21,No,249,1451,Dermatology,Partitioned survival,Registry
CEA196,Author 196,2022,,,Intervention 196,Best supportive care,Depression,Canada,EUR,Societal,20,0.036,0.031,229783,67932,161851,7.76,4.04,3.72,43508,150000,Yes,0.69,Yes,430,1282,Gastroenterology,Decision tree,Clinical trial + registry
CEA197,Author 197,2020,,,Intervention 197,Standard care,Depression,USA,GBP,Societal,Lifetime,0.037,0.038,158198,93139,65059,8.41,4.61,3.8,17120,30000,Yes,0.74,Yes,54,1354,Gastroenterology,Discrete event simulation,Real-world data
CEA198,Author 198,2023,,,Intervention 198,Best supportive care,Type 2 diabetes,USA,EUR,Healthcare payer,5,0.032,0.038,123885,98761,25124,3.8,3.53,0.27,93051,50000,No,0.4,Yes,143,1837,Infectious disease,Decision tree,Clinical trial
CEA199,Author 199,2019,,,Intervention 199,Standard care,Heart failure,Canada,USD,Healthcare system,10,0.04,0.041,41604,75309,-33705,6.51,5.56,0.95,-35478,30000,Yes,0.76,Yes,198,108,Rheumatology,Partitioned survival,Real-world data
CEA200,Author 200,2023,,,Intervention 200,Alternative treatment,Asthma,USA,USD,Societal,10,0.049,0.048,246269,81595,164674,7.37,5.9,1.47,112023,50000,No,0.19,Yes,106,1468,Gastroenterology,Markov,Registry
CEA201,Author 201,2022,,,Intervention 201,Alternative treatment,Depression,USA,CAD,Societal,15,0.04,0.037,119328,56494,62834,5.21,4.14,1.07,58723,100000,Yes,0.78,Yes,202,1767,Hematology,Markov,Clinical trial
CEA202,Author 202,2018,,,Intervention 202,Standard care,Type 2 diabetes,France,AUD,Societal,Lifetime,0.047,0.047,211543,40563,170980,6.03,3.8,2.23,76672,150000,Yes,0.81,Yes,152,1975,Neurology,Partitioned survival,Clinical trial + registry
CEA203,Author 203,2020,,,Intervention 203,Best supportive care,Heart failure,Netherlands,USD,Healthcare payer,10,0.046,0.04,110801,106250,4551,4.63,6.22,-1.59,999999,100000,No,0.43,Yes,422,814,Infectious disease,Partitioned survival,Registry
CEA204,Author 204,2023,,,Intervention 204,Standard care,Asthma,Canada,AUD,Healthcare payer,Lifetime,0.031,0.031,224826,15323,209503,7.67,6.06,1.61,130126,150000,Yes,0.91,Yes,475,1906,Gastroenterology,Partitioned survival,Clinical trial + registry
CEA205,Author 205,2021,,,Intervention 205,Standard care,COPD,France,CAD,NHS,5,0.03,0.03,203952,72019,131933,3.06,4.98,-1.92,999999,100000,No,0.27,No,253,1772,Oncology,Discrete event simulation,Clinical trial + registry
CEA206,Author 206,2024,,,Intervention 206,Alternative treatment,COPD,Germany,EUR,Healthcare payer,20,0.037,0.032,155833,78152,77681,7.85,2.36,5.49,14149,30000,Yes,0.67,Yes,250,704,Endocrinology,Discrete event simulation,Registry
CEA207,Author 207,2021,,,Intervention 207,Best supportive care,Heart failure,Germany,GBP,Healthcare system,Lifetime,0.05,0.035,41561,40902,659,5.87,2.3,3.57,184,30000,Yes,0.71,Yes,206,1902,Dermatology,Discrete event simulation,Registry
CEA208,Author 208,2018,,,Intervention 208,Best supportive care,Type 2 diabetes,USA,AUD,NHS,20,0.043,0.041,218805,54354,164451,7.0,3.65,3.35,49089,50000,Yes,0.85,No,466,391,Rheumatology,Decision tree,Real-world data
CEA209,Author 209,2020,,,Intervention 209,Alternative treatment,Depression,Germany,EUR,Healthcare system,10,0.032,0.035,170056,75819,94237,5.06,2.73,2.33,40445,50000,Yes,0.87,No,481,1179,Dermatology,Decision tree,Clinical trial
CEA210,Author 210,2023,,,Intervention 210,Best supportive care,Rheumatoid arthritis,Netherlands,USD,Healthcare payer,15,0.034,0.035,119469,85580,33889,5.06,3.45,1.61,21049,50000,Yes,0.61,Yes,456,1347,Endocrinology,Decision tree,Clinical trial + registry
CEA211,Author 211,2024,,,Intervention 211,Alternative treatment,Type 2 diabetes,UK,EUR,Healthcare payer,10,0.032,0.04,184193,93593,90600,3.57,4.46,-0.89,999999,150000,No,0.41,No,386,1218,Hematology,Markov,Clinical trial
CEA212,Author 212,2020,,,Intervention 212,Best supportive care,COPD,Canada,CAD,Healthcare payer,Lifetime,0.04,0.049,63082,93181,-30099,3.97,6.37,-2.4,999999,30000,No,0.27,Yes,290,770,Oncology,Markov,Real-world data
CEA213,Author 213,2023,,,Intervention 213,Standard care,Advanced cancer,Germany,AUD,Healthcare system,10,0.047,0.038,60554,87580,-27026,6.79,4.74,2.05,-13183,30000,Yes,0.89,No,246,1815,Oncology,Markov,Clinical trial
CEA214,Author 214,2022,,,Intervention 214,Best supportive care,Depression,Germany,AUD,Societal,5,0.032,0.046,47557,119514,-71957,4.27,2.08,2.19,-32857,50000,Yes,0.85,No,159,1761,Neurology,Discrete event simulation,Registry
CEA215,Author 215,2021,,,Intervention 215,Standard care,Asthma,Germany,GBP,Societal,Lifetime,0.036,0.036,91307,112146,-20839,2.72,5.04,-2.32,999999,30000,No,0.36,No,405,603,Hematology,Partitioned survival,Clinical trial
CEA216,Author 216,2024,,,Intervention 216,Alternative treatment,Depression,Germany,EUR,Societal,15,0.03,0.041,175503,63956,111547,2.54,2.48,0.06,1859116,100000,No,0.18,Yes,363,366,Rheumatology,Discrete event simulation,Clinical trial + registry
CEA217,Author 217,2022,,,Intervention 217,Best supportive care,Rheumatoid arthritis,Netherlands,AUD,NHS,Lifetime,0.032,0.035,195402,59971,135431,4.86,4.84,0.02,6771550,100000,No,0.2,No,382,1315,Pulmonology,Markov,Registry
